06/29/22	12:08 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	23.311800
Average Count rate  A (kHz):	221.4
Average Count rate  B (kHz):	221.4
Intercept:	0.9811
Cumulant 1st	5816.84
Cumulant 2nd	6273.38	0.38
Cumulant 3rd	6550.38	0.88

Lag time (s)         g2-1
5.000000E-8	1.282039
6.250000E-8	1.150521
7.500000E-8	1.096042
8.750000E-8	1.067755
1.000000E-7	1.050780
1.125000E-7	1.035514
1.250000E-7	1.024643
1.375000E-7	1.019644
1.500000E-7	1.013261
1.625000E-7	1.008864
1.750000E-7	1.008030
1.875000E-7	1.001467
2.000000E-7	1.000942
2.125000E-7	0.998102
2.375000E-7	0.993482
2.625000E-7	0.990632
2.875000E-7	0.990633
3.125000E-7	0.987071
3.375000E-7	0.985233
3.625000E-7	0.981473
3.875000E-7	0.980774
4.125000E-7	0.981104
4.625000E-7	0.978970
5.125000E-7	0.975361
5.625000E-7	0.973859
6.125000E-7	0.972644
6.625000E-7	0.970624
7.125000E-7	0.969122
7.625000E-7	0.969169
8.125000E-7	0.969149
9.125000E-7	0.966419
1.012500E-6	0.964073
1.112500E-6	0.963351
1.212500E-6	0.961403
1.312500E-6	0.959756
1.412500E-6	0.958422
1.512500E-6	0.957256
1.612500E-6	0.955616
1.812500E-6	0.952926
2.012500E-6	0.950292
2.212500E-6	0.947811
2.412500E-6	0.945260
2.612500E-6	0.942908
2.812500E-6	0.940486
3.012500E-6	0.937935
3.212500E-6	0.935909
3.612500E-6	0.931156
4.012500E-6	0.925881
4.412500E-6	0.922428
4.812500E-6	0.917918
5.212500E-6	0.913063
5.612500E-6	0.908529
6.012500E-6	0.903556
6.412500E-6	0.899764
7.212500E-6	0.891138
8.012500E-6	0.882798
8.812500E-6	0.873970
9.612500E-6	0.865577
1.041250E-5	0.857216
1.121250E-5	0.849208
1.201250E-5	0.841460
1.281250E-5	0.833433
1.441250E-5	0.817546
1.601250E-5	0.802248
1.761250E-5	0.787304
1.921250E-5	0.772556
2.081250E-5	0.758381
2.241250E-5	0.744509
2.401250E-5	0.730830
2.561250E-5	0.717435
2.881250E-5	0.691425
3.201250E-5	0.666573
3.521250E-5	0.642730
3.841250E-5	0.619572
4.161250E-5	0.597517
4.481250E-5	0.576492
4.801250E-5	0.556222
5.121250E-5	0.537219
5.761250E-5	0.500611
6.401250E-5	0.466906
7.041250E-5	0.435734
7.681250E-5	0.407178
8.321250E-5	0.380539
8.961250E-5	0.355818
9.601250E-5	0.333083
0.000102	0.312503
0.000115	0.274810
0.000128	0.242202
0.000141	0.214173
0.000154	0.189781
0.000166	0.168784
0.000179	0.150364
0.000192	0.134439
0.000205	0.120717
0.000230	0.097270
0.000256	0.079057
0.000282	0.064865
0.000307	0.053487
0.000333	0.044489
0.000358	0.037417
0.000384	0.031818
0.000410	0.027225
0.000461	0.019943
0.000512	0.014865
0.000563	0.011241
0.000614	0.008719
0.000666	0.006963
0.000717	0.005711
0.000768	0.004632
0.000819	0.003751
0.000922	0.002725
0.001024	0.001740
0.001126	0.001469
0.001229	0.001481
0.001331	0.001365
0.001434	0.000886
0.001536	0.000521
0.001638	0.000478
0.001843	0.000731
0.002048	0.000756
0.002253	0.000753
0.002458	0.000612
0.002662	0.000757
0.002867	0.000244
0.003072	0.000132
0.003277	-0.000292
0.003686	0.000106
0.004096	0.000369
0.004506	0.000386
0.004915	0.000339
0.005325	0.000304
0.005734	0.000183
0.006144	0.000377
0.006554	0.000444
0.007373	0.000417
0.008192	0.000637
0.009011	0.000350
0.009830	0.000701
0.010650	0.000798
0.011469	0.000192
0.012288	0.000275
0.013107	0.000263
0.014746	0.000275
0.016384	0.000493
0.018022	0.000368
0.019661	0.000455
0.021299	0.000461
0.022938	0.000235
0.024576	0.000343
0.026214	0.000314
0.029491	0.000373
0.032768	0.000276
0.036045	0.000552
0.039322	0.000297
0.042598	7.436809E-5
0.045875	0.000346
0.049152	0.000277
0.052429	0.000328
0.058982	0.000416
0.065536	0.000442
0.072090	0.000395
0.078643	0.000424
0.085197	0.000359
0.091750	0.000227
0.098304	0.000388
0.104858	0.000419
0.117965	0.000244
0.131072	0.000339
0.144179	0.000293
0.157286	0.000184
0.170394	0.000297
0.183501	0.000307
0.196608	0.000313
0.209715	0.000272
0.235930	8.748827E-5
0.262144	0.000190
0.288358	0.000218
0.314573	0.000118
0.340787	0.000155
0.367002	0.000181
0.393216	0.000171
0.419430	9.268773E-5
0.471859	8.989449E-5
0.524288	6.493919E-5
0.576717	0.000181
0.629146	0.000119
0.681574	0.000137
0.734003	0.000115
0.786432	0.000114
0.838861	0.000124
0.943718	0.000157
1.048576	0.000151
1.153434	0.000122
1.258291	9.597716E-5
1.363149	7.015724E-5
1.468006	6.122269E-5
1.572864	4.706005E-5
1.677722	4.402197E-5
1.887437	6.972941E-5
2.097152	4.191349E-5
2.306867	7.298711E-5
2.516582	1.919698E-5
2.726298	4.008971E-5
2.936013	8.971762E-5
3.145728	2.559909E-5
3.355443	4.209801E-5
3.774873	5.910970E-5
4.194304	3.243459E-5
4.613734	2.099544E-5
5.033165	-8.339748E-6
