06/29/22	12:49 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	254.679578
Average Count rate  A (kHz):	121.6
Average Count rate  B (kHz):	121.6
Intercept:	0.9252
Cumulant 1st	16751.41
Cumulant 2nd	18189.97	0.39
Cumulant 3rd	19511.32	1.09

Lag time (s)         g2-1
5.000000E-8	1.509791
6.250000E-8	1.240483
7.500000E-8	1.139456
8.750000E-8	1.082938
1.000000E-7	1.041280
1.125000E-7	1.022805
1.250000E-7	1.005178
1.375000E-7	0.993463
1.500000E-7	0.983077
1.625000E-7	0.972024
1.750000E-7	0.961854
1.875000E-7	0.954138
2.000000E-7	0.959046
2.125000E-7	0.950858
2.375000E-7	0.942126
2.625000E-7	0.932909
2.875000E-7	0.933096
3.125000E-7	0.924974
3.375000E-7	0.923176
3.625000E-7	0.916404
3.875000E-7	0.914796
4.125000E-7	0.916147
4.625000E-7	0.911220
5.125000E-7	0.908666
5.625000E-7	0.902524
6.125000E-7	0.903902
6.625000E-7	0.895380
7.125000E-7	0.897337
7.625000E-7	0.892516
8.125000E-7	0.890256
9.125000E-7	0.888336
1.012500E-6	0.882644
1.112500E-6	0.880618
1.212500E-6	0.874741
1.312500E-6	0.872544
1.412500E-6	0.868572
1.512500E-6	0.865918
1.612500E-6	0.863846
1.812500E-6	0.856178
2.012500E-6	0.849149
2.212500E-6	0.842181
2.412500E-6	0.837801
2.612500E-6	0.832378
2.812500E-6	0.826714
3.012500E-6	0.819756
3.212500E-6	0.814903
3.612500E-6	0.804736
4.012500E-6	0.793041
4.412500E-6	0.782988
4.812500E-6	0.772146
5.212500E-6	0.761038
5.612500E-6	0.750881
6.012500E-6	0.741764
6.412500E-6	0.731915
7.212500E-6	0.712562
8.012500E-6	0.693079
8.812500E-6	0.675777
9.612500E-6	0.658232
1.041250E-5	0.641208
1.121250E-5	0.623960
1.201250E-5	0.608429
1.281250E-5	0.593273
1.441250E-5	0.563154
1.601250E-5	0.534482
1.761250E-5	0.507448
1.921250E-5	0.482223
2.081250E-5	0.458402
2.241250E-5	0.435544
2.401250E-5	0.414811
2.561250E-5	0.394285
2.881250E-5	0.357144
3.201250E-5	0.323772
3.521250E-5	0.293979
3.841250E-5	0.266784
4.161250E-5	0.242900
4.481250E-5	0.221043
4.801250E-5	0.202002
5.121250E-5	0.184930
5.761250E-5	0.154859
6.401250E-5	0.130616
7.041250E-5	0.110949
7.681250E-5	0.094812
8.321250E-5	0.081466
8.961250E-5	0.070683
9.601250E-5	0.061842
0.000102	0.054735
0.000115	0.043411
0.000128	0.035217
0.000141	0.029445
0.000154	0.025214
0.000166	0.022126
0.000179	0.019636
0.000192	0.018007
0.000205	0.016785
0.000230	0.014862
0.000256	0.013830
0.000282	0.013335
0.000307	0.012844
0.000333	0.012671
0.000358	0.012179
0.000384	0.011811
0.000410	0.011506
0.000461	0.011146
0.000512	0.010922
0.000563	0.010679
0.000614	0.010371
0.000666	0.010110
0.000717	0.009843
0.000768	0.009947
0.000819	0.009700
0.000922	0.009280
0.001024	0.008699
0.001126	0.008387
0.001229	0.008213
0.001331	0.007939
0.001434	0.007934
0.001536	0.007686
0.001638	0.007452
0.001843	0.007211
0.002048	0.006701
0.002253	0.006587
0.002458	0.006378
0.002662	0.006179
0.002867	0.005966
0.003072	0.005726
0.003277	0.005773
0.003686	0.005456
0.004096	0.005377
0.004506	0.005309
0.004915	0.005115
0.005325	0.004950
0.005734	0.004739
0.006144	0.004805
0.006554	0.004676
0.007373	0.004554
0.008192	0.004492
0.009011	0.004291
0.009830	0.004183
0.010650	0.004056
0.011469	0.003904
0.012288	0.004062
0.013107	0.004034
0.014746	0.003818
0.016384	0.003828
0.018022	0.003768
0.019661	0.003730
0.021299	0.003571
0.022938	0.003592
0.024576	0.003576
0.026214	0.003602
0.029491	0.003452
0.032768	0.003428
0.036045	0.003436
0.039322	0.003300
0.042598	0.003341
0.045875	0.003224
0.049152	0.003186
0.052429	0.003146
0.058982	0.003194
0.065536	0.003063
0.072090	0.003019
0.078643	0.003023
0.085197	0.003099
0.091750	0.003031
0.098304	0.003045
0.104858	0.003001
0.117965	0.003004
0.131072	0.002956
0.144179	0.002981
0.157286	0.003001
0.170394	0.002972
0.183501	0.002990
0.196608	0.002996
0.209715	0.002971
0.235930	0.002957
0.262144	0.002889
0.288358	0.002910
0.314573	0.002866
0.340787	0.002821
0.367002	0.002869
0.393216	0.002875
0.419430	0.002875
0.471859	0.002913
0.524288	0.002904
0.576717	0.002871
0.629146	0.002873
0.681574	0.002900
0.734003	0.002911
0.786432	0.002907
0.838861	0.002880
0.943718	0.002906
1.048576	0.002926
1.153434	0.002916
1.258291	0.002902
1.363149	0.002961
1.468006	0.002947
1.572864	0.003000
1.677722	0.003004
1.887437	0.003054
2.097152	0.003073
2.306867	0.003159
2.516582	0.003236
2.726298	0.003256
2.936013	0.003306
3.145728	0.003344
3.355443	0.003387
3.774873	0.003519
4.194304	0.003595
4.613734	0.003652
5.033165	0.003750
5.452595	0.003832
5.872025	0.003932
6.291456	0.004034
6.710886	0.004112
7.549747	0.004254
8.388608	0.004366
9.227468	0.004495
