06/28/22	8:54 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.2
Laser intensity (mW):	254.764500
Average Count rate  A (kHz):	128.2
Average Count rate  B (kHz):	128.2
Intercept:	0.9397
Cumulant 1st	15917.79
Cumulant 2nd	17885.15	0.44
Cumulant 3rd	19739.70	1.20

Lag time (s)         g2-1
5.000000E-8	1.481842
6.250000E-8	1.226392
7.500000E-8	1.129880
8.750000E-8	1.075565
1.000000E-7	1.044905
1.125000E-7	1.019564
1.250000E-7	0.998122
1.375000E-7	0.982686
1.500000E-7	0.978982
1.625000E-7	0.970759
1.750000E-7	0.960530
1.875000E-7	0.951630
2.000000E-7	0.953501
2.125000E-7	0.944934
2.375000E-7	0.944229
2.625000E-7	0.934021
2.875000E-7	0.932005
3.125000E-7	0.923016
3.375000E-7	0.925982
3.625000E-7	0.920935
3.875000E-7	0.914787
4.125000E-7	0.912791
4.625000E-7	0.911126
5.125000E-7	0.908582
5.625000E-7	0.902832
6.125000E-7	0.903257
6.625000E-7	0.901103
7.125000E-7	0.899011
7.625000E-7	0.893982
8.125000E-7	0.891221
9.125000E-7	0.887417
1.012500E-6	0.883585
1.112500E-6	0.880010
1.212500E-6	0.879354
1.312500E-6	0.873871
1.412500E-6	0.869932
1.512500E-6	0.868786
1.612500E-6	0.864658
1.812500E-6	0.859106
2.012500E-6	0.852977
2.212500E-6	0.846054
2.412500E-6	0.840790
2.612500E-6	0.835091
2.812500E-6	0.829480
3.012500E-6	0.825976
3.212500E-6	0.818728
3.612500E-6	0.808443
4.012500E-6	0.797549
4.412500E-6	0.787457
4.812500E-6	0.777521
5.212500E-6	0.767726
5.612500E-6	0.758021
6.012500E-6	0.748322
6.412500E-6	0.738959
7.212500E-6	0.720193
8.012500E-6	0.702545
8.812500E-6	0.685644
9.612500E-6	0.668639
1.041250E-5	0.651874
1.121250E-5	0.636089
1.201250E-5	0.620107
1.281250E-5	0.605453
1.441250E-5	0.576514
1.601250E-5	0.548817
1.761250E-5	0.523004
1.921250E-5	0.498002
2.081250E-5	0.474940
2.241250E-5	0.452899
2.401250E-5	0.432236
2.561250E-5	0.412244
2.881250E-5	0.375905
3.201250E-5	0.342975
3.521250E-5	0.313406
3.841250E-5	0.286779
4.161250E-5	0.262810
4.481250E-5	0.240817
4.801250E-5	0.221658
5.121250E-5	0.204417
5.761250E-5	0.174013
6.401250E-5	0.149289
7.041250E-5	0.128892
7.681250E-5	0.112118
8.321250E-5	0.098169
8.961250E-5	0.086518
9.601250E-5	0.076632
0.000102	0.068889
0.000115	0.056511
0.000128	0.047412
0.000141	0.040633
0.000154	0.035565
0.000166	0.032018
0.000179	0.029295
0.000192	0.027067
0.000205	0.025295
0.000230	0.022995
0.000256	0.021543
0.000282	0.020630
0.000307	0.019778
0.000333	0.018883
0.000358	0.018341
0.000384	0.017984
0.000410	0.017537
0.000461	0.016535
0.000512	0.016106
0.000563	0.015582
0.000614	0.015084
0.000666	0.014479
0.000717	0.013801
0.000768	0.013557
0.000819	0.013105
0.000922	0.012206
0.001024	0.011582
0.001126	0.011025
0.001229	0.010472
0.001331	0.009953
0.001434	0.009647
0.001536	0.008859
0.001638	0.008538
0.001843	0.007988
0.002048	0.007491
0.002253	0.006810
0.002458	0.006597
0.002662	0.006340
0.002867	0.005913
0.003072	0.005757
0.003277	0.005343
0.003686	0.004751
0.004096	0.004641
0.004506	0.004388
0.004915	0.003804
0.005325	0.003713
0.005734	0.003650
0.006144	0.003318
0.006554	0.003070
0.007373	0.003168
0.008192	0.002909
0.009011	0.002884
0.009830	0.002542
0.010650	0.002649
0.011469	0.002438
0.012288	0.002336
0.013107	0.002210
0.014746	0.002079
0.016384	0.002134
0.018022	0.001955
0.019661	0.001963
0.021299	0.001846
0.022938	0.001724
0.024576	0.001768
0.026214	0.001746
0.029491	0.001732
0.032768	0.001570
0.036045	0.001535
0.039322	0.001374
0.042598	0.001361
0.045875	0.001228
0.049152	0.001255
0.052429	0.001139
0.058982	0.001113
0.065536	0.000970
0.072090	0.000921
0.078643	0.000988
0.085197	0.000893
0.091750	0.000799
0.098304	0.000707
0.104858	0.000774
0.117965	0.000729
0.131072	0.000744
0.144179	0.000637
0.157286	0.000582
0.170394	0.000637
0.183501	0.000627
0.196608	0.000569
0.209715	0.000590
0.235930	0.000513
0.262144	0.000504
0.288358	0.000485
0.314573	0.000470
0.340787	0.000516
0.367002	0.000510
0.393216	0.000411
0.419430	0.000434
0.471859	0.000426
0.524288	0.000442
0.576717	0.000464
0.629146	0.000424
0.681574	0.000457
0.734003	0.000451
0.786432	0.000501
0.838861	0.000455
0.943718	0.000506
1.048576	0.000436
1.153434	0.000421
1.258291	0.000514
1.363149	0.000490
1.468006	0.000512
1.572864	0.000477
1.677722	0.000500
1.887437	0.000519
2.097152	0.000489
2.306867	0.000537
2.516582	0.000510
2.726298	0.000568
2.936013	0.000549
3.145728	0.000507
3.355443	0.000591
3.774873	0.000611
4.194304	0.000613
4.613734	0.000629
5.033165	0.000642
5.452595	0.000701
5.872025	0.000662
6.291456	0.000707
6.710886	0.000774
7.549747	0.000805
8.388608	0.000851
9.227468	0.000866
