06/28/22	10:04 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	15.0
Duration (s):	600
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	3.421200
Average Count rate  A (kHz):	169.8
Average Count rate  B (kHz):	169.8
Intercept:	1.0000
Cumulant 1st	28.19
Cumulant 2nd	40.32	0.65
Cumulant 3rd	57.19	1.08

Lag time (s)         g2-1
5.000000E-8	1.717335
6.250000E-8	1.541633
7.500000E-8	1.468519
8.750000E-8	1.429718
1.000000E-7	1.404648
1.125000E-7	1.396871
1.250000E-7	1.375387
1.375000E-7	1.371482
1.500000E-7	1.356202
1.625000E-7	1.356835
1.750000E-7	1.346875
1.875000E-7	1.350030
2.000000E-7	1.346792
2.125000E-7	1.342903
2.375000E-7	1.336887
2.625000E-7	1.332561
2.875000E-7	1.332300
3.125000E-7	1.326762
3.375000E-7	1.325284
3.625000E-7	1.328485
3.875000E-7	1.317845
4.125000E-7	1.320792
4.625000E-7	1.317706
5.125000E-7	1.318613
5.625000E-7	1.315168
6.125000E-7	1.313497
6.625000E-7	1.312147
7.125000E-7	1.312160
7.625000E-7	1.311129
8.125000E-7	1.310775
9.125000E-7	1.310984
1.012500E-6	1.308650
1.112500E-6	1.308457
1.212500E-6	1.308553
1.312500E-6	1.309463
1.412500E-6	1.309687
1.512500E-6	1.305419
1.612500E-6	1.307094
1.812500E-6	1.306612
2.012500E-6	1.306179
2.212500E-6	1.307337
2.412500E-6	1.305414
2.612500E-6	1.305232
2.812500E-6	1.304900
3.012500E-6	1.303949
3.212500E-6	1.304579
3.612500E-6	1.304974
4.012500E-6	1.304529
4.412500E-6	1.304880
4.812500E-6	1.304985
5.212500E-6	1.303574
5.612500E-6	1.304435
6.012500E-6	1.304270
6.412500E-6	1.304035
7.212500E-6	1.303998
8.012500E-6	1.303772
8.812500E-6	1.303381
9.612500E-6	1.302631
1.041250E-5	1.302591
1.121250E-5	1.303184
1.201250E-5	1.302650
1.281250E-5	1.302518
1.441250E-5	1.301042
1.601250E-5	1.301061
1.761250E-5	1.300980
1.921250E-5	1.300180
2.081250E-5	1.300102
2.241250E-5	1.299168
2.401250E-5	1.298745
2.561250E-5	1.298485
2.881250E-5	1.297670
3.201250E-5	1.297065
3.521250E-5	1.295744
3.841250E-5	1.295000
4.161250E-5	1.294513
4.481250E-5	1.293494
4.801250E-5	1.293091
5.121250E-5	1.291905
5.761250E-5	1.290310
6.401250E-5	1.288454
7.041250E-5	1.286853
7.681250E-5	1.285544
8.321250E-5	1.283862
8.961250E-5	1.282324
9.601250E-5	1.280702
0.000102	1.279187
0.000115	1.276371
0.000128	1.273521
0.000141	1.270755
0.000154	1.267883
0.000166	1.265052
0.000179	1.262649
0.000192	1.259932
0.000205	1.257060
0.000230	1.251849
0.000256	1.246702
0.000282	1.241770
0.000307	1.236738
0.000333	1.231878
0.000358	1.226955
0.000384	1.222240
0.000410	1.217534
0.000461	1.208129
0.000512	1.198955
0.000563	1.189975
0.000614	1.181134
0.000666	1.172513
0.000717	1.163819
0.000768	1.155504
0.000819	1.147159
0.000922	1.130815
0.001024	1.115076
0.001126	1.099836
0.001229	1.085051
0.001331	1.070767
0.001434	1.056856
0.001536	1.043368
0.001638	1.030243
0.001843	1.005132
0.002048	0.981586
0.002253	0.959267
0.002458	0.938281
0.002662	0.918298
0.002867	0.899435
0.003072	0.881774
0.003277	0.865161
0.003686	0.833933
0.004096	0.805790
0.004506	0.780570
0.004915	0.757689
0.005325	0.737017
0.005734	0.718070
0.006144	0.700715
0.006554	0.684968
0.007373	0.656457
0.008192	0.632336
0.009011	0.612209
0.009830	0.594417
0.010650	0.578644
0.011469	0.565248
0.012288	0.553265
0.013107	0.542652
0.014746	0.523849
0.016384	0.508458
0.018022	0.495391
0.019661	0.484705
0.021299	0.474769
0.022938	0.466255
0.024576	0.459582
0.026214	0.453186
0.029491	0.443887
0.032768	0.435990
0.036045	0.428469
0.039322	0.421304
0.042598	0.414817
0.045875	0.408513
0.049152	0.402733
0.052429	0.398315
0.058982	0.387320
0.065536	0.379211
0.072090	0.370266
0.078643	0.363434
0.085197	0.355656
0.091750	0.349543
0.098304	0.344165
0.104858	0.340884
0.117965	0.334082
0.131072	0.323250
0.144179	0.312634
0.157286	0.309739
0.170394	0.301841
0.183501	0.294928
0.196608	0.288285
0.209715	0.283762
0.235930	0.277737
0.262144	0.270862
0.288358	0.278115
0.314573	0.270220
0.340787	0.270368
0.367002	0.273140
0.393216	0.275328
0.419430	0.273516
0.471859	0.261199
0.524288	0.252386
0.576717	0.247204
0.629146	0.245954
0.681574	0.244400
0.734003	0.245654
0.786432	0.253559
0.838861	0.254122
0.943718	0.251298
1.048576	0.240198
1.153434	0.236347
1.258291	0.237917
1.363149	0.241033
1.468006	0.233647
1.572864	0.233850
1.677722	0.229462
1.887437	0.223175
2.097152	0.231374
2.306867	0.245245
2.516582	0.233068
2.726298	0.235644
2.936013	0.232151
3.145728	0.237200
3.355443	0.228428
3.774873	0.231659
4.194304	0.238311
4.613734	0.237040
5.033165	0.234063
5.452595	0.227921
5.872025	0.218244
6.291456	0.221982
6.710886	0.222961
7.549747	0.233268
8.388608	0.233220
9.227468	0.240674
