06/29/22	12:30 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	58.586400
Average Count rate  A (kHz):	193.1
Average Count rate  B (kHz):	193.1
Intercept:	0.9959
Cumulant 1st	6890.85
Cumulant 2nd	7908.79	0.59
Cumulant 3rd	8246.94	0.99

Lag time (s)         g2-1
5.000000E-8	1.340884
6.250000E-8	1.190031
7.500000E-8	1.121301
8.750000E-8	1.091750
1.000000E-7	1.065844
1.125000E-7	1.060522
1.250000E-7	1.051684
1.375000E-7	1.039182
1.500000E-7	1.028251
1.625000E-7	1.025812
1.750000E-7	1.026741
1.875000E-7	1.015331
2.000000E-7	1.014983
2.125000E-7	1.014916
2.375000E-7	1.008833
2.625000E-7	1.007560
2.875000E-7	1.002435
3.125000E-7	0.996821
3.375000E-7	1.000843
3.625000E-7	0.995874
3.875000E-7	0.992850
4.125000E-7	0.992739
4.625000E-7	0.992686
5.125000E-7	0.986861
5.625000E-7	0.986146
6.125000E-7	0.985349
6.625000E-7	0.981554
7.125000E-7	0.980448
7.625000E-7	0.981003
8.125000E-7	0.977814
9.125000E-7	0.975982
1.012500E-6	0.974578
1.112500E-6	0.972587
1.212500E-6	0.969016
1.312500E-6	0.968345
1.412500E-6	0.967529
1.512500E-6	0.963930
1.612500E-6	0.963195
1.812500E-6	0.960276
2.012500E-6	0.955667
2.212500E-6	0.953311
2.412500E-6	0.950515
2.612500E-6	0.946621
2.812500E-6	0.943693
3.012500E-6	0.941208
3.212500E-6	0.938904
3.612500E-6	0.932844
4.012500E-6	0.926314
4.412500E-6	0.921502
4.812500E-6	0.915919
5.212500E-6	0.909666
5.612500E-6	0.904215
6.012500E-6	0.898988
6.412500E-6	0.893608
7.212500E-6	0.882955
8.012500E-6	0.872925
8.812500E-6	0.862390
9.612500E-6	0.852005
1.041250E-5	0.842499
1.121250E-5	0.832455
1.201250E-5	0.822604
1.281250E-5	0.813067
1.441250E-5	0.794309
1.601250E-5	0.776407
1.761250E-5	0.759237
1.921250E-5	0.741774
2.081250E-5	0.725348
2.241250E-5	0.709050
2.401250E-5	0.693746
2.561250E-5	0.678958
2.881250E-5	0.649956
3.201250E-5	0.622827
3.521250E-5	0.597009
3.841250E-5	0.572652
4.161250E-5	0.549614
4.481250E-5	0.527759
4.801250E-5	0.507195
5.121250E-5	0.488070
5.761250E-5	0.452136
6.401250E-5	0.419780
7.041250E-5	0.390534
7.681250E-5	0.364325
8.321250E-5	0.340456
8.961250E-5	0.319037
9.601250E-5	0.299636
0.000102	0.282340
0.000115	0.251381
0.000128	0.225521
0.000141	0.203691
0.000154	0.185411
0.000166	0.169989
0.000179	0.156674
0.000192	0.145098
0.000205	0.135548
0.000230	0.119236
0.000256	0.106352
0.000282	0.096391
0.000307	0.088398
0.000333	0.081859
0.000358	0.076305
0.000384	0.071897
0.000410	0.068068
0.000461	0.061929
0.000512	0.057072
0.000563	0.053079
0.000614	0.049859
0.000666	0.047411
0.000717	0.045245
0.000768	0.043274
0.000819	0.041503
0.000922	0.038458
0.001024	0.036029
0.001126	0.033925
0.001229	0.032405
0.001331	0.030917
0.001434	0.029712
0.001536	0.028694
0.001638	0.027859
0.001843	0.026647
0.002048	0.025661
0.002253	0.024184
0.002458	0.022922
0.002662	0.022097
0.002867	0.021965
0.003072	0.021775
0.003277	0.021363
0.003686	0.020663
0.004096	0.019700
0.004506	0.019006
0.004915	0.018937
0.005325	0.018435
0.005734	0.018031
0.006144	0.017906
0.006554	0.017690
0.007373	0.017140
0.008192	0.017145
0.009011	0.016604
0.009830	0.016534
0.010650	0.015933
0.011469	0.016208
0.012288	0.016178
0.013107	0.015941
0.014746	0.016034
0.016384	0.015411
0.018022	0.015413
0.019661	0.015324
0.021299	0.014975
0.022938	0.014871
0.024576	0.014619
0.026214	0.014614
0.029491	0.014374
0.032768	0.014095
0.036045	0.014115
0.039322	0.013808
0.042598	0.013841
0.045875	0.013608
0.049152	0.013848
0.052429	0.013595
0.058982	0.013494
0.065536	0.013308
0.072090	0.013316
0.078643	0.013186
0.085197	0.012902
0.091750	0.012821
0.098304	0.012709
0.104858	0.012724
0.117965	0.012411
0.131072	0.012506
0.144179	0.012116
0.157286	0.012043
0.170394	0.011924
0.183501	0.011879
0.196608	0.011595
0.209715	0.011496
0.235930	0.011194
0.262144	0.011221
0.288358	0.010986
0.314573	0.011001
0.340787	0.010953
0.367002	0.010988
0.393216	0.010890
0.419430	0.010752
0.471859	0.010469
0.524288	0.010465
0.576717	0.010480
0.629146	0.010531
0.681574	0.010663
0.734003	0.010530
0.786432	0.010535
0.838861	0.010512
0.943718	0.010564
1.048576	0.010542
1.153434	0.010350
1.258291	0.010088
1.363149	0.009975
1.468006	0.010083
1.572864	0.010001
1.677722	0.010055
1.887437	0.009909
2.097152	0.010119
2.306867	0.009768
2.516582	0.009673
2.726298	0.009695
2.936013	0.009464
3.145728	0.009626
3.355443	0.009692
3.774873	0.009692
4.194304	0.009234
4.613734	0.009485
5.033165	0.008687
5.452595	0.008706
5.872025	0.008585
6.291456	0.008230
6.710886	0.007781
7.549747	0.007496
8.388608	0.006809
9.227468	0.006259
