06/28/22	10:52 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	63.041400
Average Count rate  A (kHz):	239.8
Average Count rate  B (kHz):	239.8
Intercept:	0.9779
Cumulant 1st	5762.26
Cumulant 2nd	6867.40	0.65
Cumulant 3rd	6999.36	0.81

Lag time (s)         g2-1
5.000000E-8	1.257029
6.250000E-8	1.137704
7.500000E-8	1.082016
8.750000E-8	1.064335
1.000000E-7	1.046585
1.125000E-7	1.033921
1.250000E-7	1.023842
1.375000E-7	1.024106
1.500000E-7	1.016888
1.625000E-7	1.009886
1.750000E-7	1.007330
1.875000E-7	1.000249
2.000000E-7	0.999920
2.125000E-7	0.998725
2.375000E-7	0.995995
2.625000E-7	0.992625
2.875000E-7	0.990220
3.125000E-7	0.988158
3.375000E-7	0.984973
3.625000E-7	0.984847
3.875000E-7	0.982142
4.125000E-7	0.981599
4.625000E-7	0.979540
5.125000E-7	0.977681
5.625000E-7	0.976110
6.125000E-7	0.974257
6.625000E-7	0.974098
7.125000E-7	0.972940
7.625000E-7	0.970212
8.125000E-7	0.968901
9.125000E-7	0.968080
1.012500E-6	0.966379
1.112500E-6	0.962885
1.212500E-6	0.961445
1.312500E-6	0.960892
1.412500E-6	0.959088
1.512500E-6	0.956315
1.612500E-6	0.955434
1.812500E-6	0.952994
2.012500E-6	0.950233
2.212500E-6	0.947220
2.412500E-6	0.945412
2.612500E-6	0.941735
2.812500E-6	0.939197
3.012500E-6	0.936665
3.212500E-6	0.933940
3.612500E-6	0.928623
4.012500E-6	0.923264
4.412500E-6	0.918654
4.812500E-6	0.913370
5.212500E-6	0.908576
5.612500E-6	0.903768
6.012500E-6	0.899028
6.412500E-6	0.894368
7.212500E-6	0.884747
8.012500E-6	0.875408
8.812500E-6	0.866252
9.612500E-6	0.856823
1.041250E-5	0.847862
1.121250E-5	0.839315
1.201250E-5	0.830272
1.281250E-5	0.822067
1.441250E-5	0.805318
1.601250E-5	0.788753
1.761250E-5	0.773098
1.921250E-5	0.757635
2.081250E-5	0.742943
2.241250E-5	0.728686
2.401250E-5	0.714319
2.561250E-5	0.700608
2.881250E-5	0.674225
3.201250E-5	0.649168
3.521250E-5	0.625572
3.841250E-5	0.603294
4.161250E-5	0.582179
4.481250E-5	0.561787
4.801250E-5	0.542861
5.121250E-5	0.524948
5.761250E-5	0.491284
6.401250E-5	0.460896
7.041250E-5	0.433541
7.681250E-5	0.408476
8.321250E-5	0.385847
8.961250E-5	0.365022
9.601250E-5	0.346223
0.000102	0.329154
0.000115	0.298748
0.000128	0.272864
0.000141	0.251040
0.000154	0.232395
0.000166	0.216216
0.000179	0.202302
0.000192	0.190025
0.000205	0.179626
0.000230	0.161645
0.000256	0.147579
0.000282	0.136140
0.000307	0.126695
0.000333	0.118976
0.000358	0.112264
0.000384	0.106721
0.000410	0.102010
0.000461	0.094106
0.000512	0.087907
0.000563	0.082971
0.000614	0.078702
0.000666	0.075156
0.000717	0.072253
0.000768	0.069480
0.000819	0.067253
0.000922	0.063337
0.001024	0.059769
0.001126	0.056774
0.001229	0.054538
0.001331	0.052158
0.001434	0.050213
0.001536	0.048692
0.001638	0.047149
0.001843	0.044446
0.002048	0.042450
0.002253	0.040536
0.002458	0.039084
0.002662	0.037791
0.002867	0.036854
0.003072	0.035640
0.003277	0.034879
0.003686	0.033124
0.004096	0.031625
0.004506	0.030729
0.004915	0.029656
0.005325	0.028971
0.005734	0.028369
0.006144	0.028002
0.006554	0.027097
0.007373	0.026011
0.008192	0.025193
0.009011	0.024324
0.009830	0.024136
0.010650	0.023500
0.011469	0.022678
0.012288	0.022384
0.013107	0.022099
0.014746	0.021256
0.016384	0.020664
0.018022	0.020427
0.019661	0.020194
0.021299	0.019815
0.022938	0.019032
0.024576	0.018429
0.026214	0.018258
0.029491	0.017609
0.032768	0.017176
0.036045	0.016724
0.039322	0.016324
0.042598	0.016430
0.045875	0.016104
0.049152	0.015738
0.052429	0.015336
0.058982	0.015375
0.065536	0.014989
0.072090	0.014398
0.078643	0.014407
0.085197	0.014200
0.091750	0.014009
0.098304	0.013983
0.104858	0.013659
0.117965	0.013238
0.131072	0.012869
0.144179	0.012987
0.157286	0.012644
0.170394	0.012350
0.183501	0.011932
0.196608	0.011872
0.209715	0.011737
0.235930	0.011699
0.262144	0.011448
0.288358	0.011211
0.314573	0.011291
0.340787	0.010985
0.367002	0.010670
0.393216	0.010518
0.419430	0.010399
0.471859	0.009949
0.524288	0.010051
0.576717	0.009884
0.629146	0.009791
0.681574	0.009786
0.734003	0.009413
0.786432	0.009474
0.838861	0.009485
0.943718	0.009294
1.048576	0.009140
1.153434	0.009092
1.258291	0.008914
1.363149	0.008610
1.468006	0.008453
1.572864	0.008676
1.677722	0.008390
1.887437	0.008243
2.097152	0.008068
2.306867	0.008011
2.516582	0.007937
2.726298	0.007805
2.936013	0.007589
3.145728	0.007936
3.355443	0.007893
3.774873	0.007665
4.194304	0.007750
4.613734	0.007879
5.033165	0.007680
5.452595	0.007494
5.872025	0.007399
6.291456	0.007247
6.710886	0.007199
7.549747	0.007149
8.388608	0.006930
9.227468	0.007157
