07/06/22	9:32 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	206.628000
Average Count rate  A (kHz):	155.9
Average Count rate  B (kHz):	155.9
Intercept:	0.9284
Cumulant 1st	15353.10
Cumulant 2nd	15586.52	0.04
Cumulant 3rd	16822.98	0.22

Lag time (s)         g2-1
5.000000E-8	1.386835
6.250000E-8	1.191291
7.500000E-8	1.100899
8.750000E-8	1.056982
1.000000E-7	1.038136
1.125000E-7	1.017594
1.250000E-7	0.999105
1.375000E-7	0.997044
1.500000E-7	0.984038
1.625000E-7	0.978402
1.750000E-7	0.974090
1.875000E-7	0.964712
2.000000E-7	0.964913
2.125000E-7	0.957937
2.375000E-7	0.952329
2.625000E-7	0.947229
2.875000E-7	0.948210
3.125000E-7	0.940287
3.375000E-7	0.936863
3.625000E-7	0.936620
3.875000E-7	0.937036
4.125000E-7	0.931180
4.625000E-7	0.930084
5.125000E-7	0.922661
5.625000E-7	0.922760
6.125000E-7	0.921066
6.625000E-7	0.917232
7.125000E-7	0.916112
7.625000E-7	0.913001
8.125000E-7	0.911458
9.125000E-7	0.905969
1.012500E-6	0.901541
1.112500E-6	0.897008
1.212500E-6	0.894737
1.312500E-6	0.891736
1.412500E-6	0.888222
1.512500E-6	0.883692
1.612500E-6	0.881755
1.812500E-6	0.875648
2.012500E-6	0.868425
2.212500E-6	0.862991
2.412500E-6	0.857161
2.612500E-6	0.853180
2.812500E-6	0.846305
3.012500E-6	0.839664
3.212500E-6	0.833964
3.612500E-6	0.823852
4.012500E-6	0.812882
4.412500E-6	0.802688
4.812500E-6	0.792517
5.212500E-6	0.781295
5.612500E-6	0.771399
6.012500E-6	0.761015
6.412500E-6	0.752127
7.212500E-6	0.732404
8.012500E-6	0.713211
8.812500E-6	0.695527
9.612500E-6	0.677462
1.041250E-5	0.660633
1.121250E-5	0.643418
1.201250E-5	0.627466
1.281250E-5	0.611338
1.441250E-5	0.580962
1.601250E-5	0.552905
1.761250E-5	0.525626
1.921250E-5	0.499535
2.081250E-5	0.475309
2.241250E-5	0.452767
2.401250E-5	0.431001
2.561250E-5	0.409976
2.881250E-5	0.371864
3.201250E-5	0.337854
3.521250E-5	0.307130
3.841250E-5	0.279611
4.161250E-5	0.254408
4.481250E-5	0.231984
4.801250E-5	0.211896
5.121250E-5	0.193988
5.761250E-5	0.162611
6.401250E-5	0.137013
7.041250E-5	0.115876
7.681250E-5	0.098421
8.321250E-5	0.084311
8.961250E-5	0.072401
9.601250E-5	0.062548
0.000102	0.054606
0.000115	0.041906
0.000128	0.032806
0.000141	0.026156
0.000154	0.021441
0.000166	0.017835
0.000179	0.015159
0.000192	0.013193
0.000205	0.011567
0.000230	0.009199
0.000256	0.007824
0.000282	0.006547
0.000307	0.005775
0.000333	0.005299
0.000358	0.004934
0.000384	0.004599
0.000410	0.004315
0.000461	0.003940
0.000512	0.003867
0.000563	0.003389
0.000614	0.003001
0.000666	0.003042
0.000717	0.002906
0.000768	0.002708
0.000819	0.002595
0.000922	0.002330
0.001024	0.002020
0.001126	0.001833
0.001229	0.001673
0.001331	0.001647
0.001434	0.001511
0.001536	0.001677
0.001638	0.001686
0.001843	0.001460
0.002048	0.001438
0.002253	0.001346
0.002458	0.001223
0.002662	0.001298
0.002867	0.001041
0.003072	0.000941
0.003277	0.000907
0.003686	0.000854
0.004096	0.000722
0.004506	0.000909
0.004915	0.000770
0.005325	0.000797
0.005734	0.000768
0.006144	0.000831
0.006554	0.000846
0.007373	0.000808
0.008192	0.000663
0.009011	0.000854
0.009830	0.000839
0.010650	0.000739
0.011469	0.000793
0.012288	0.000668
0.013107	0.000702
0.014746	0.000667
0.016384	0.000827
0.018022	0.000748
0.019661	0.000707
0.021299	0.000756
0.022938	0.000721
0.024576	0.000792
0.026214	0.000673
0.029491	0.000663
0.032768	0.000662
0.036045	0.000612
0.039322	0.000737
0.042598	0.000640
0.045875	0.000546
0.049152	0.000653
0.052429	0.000632
0.058982	0.000645
0.065536	0.000666
0.072090	0.000672
0.078643	0.000667
0.085197	0.000638
0.091750	0.000650
0.098304	0.000663
0.104858	0.000639
0.117965	0.000643
0.131072	0.000635
0.144179	0.000631
0.157286	0.000618
0.170394	0.000630
0.183501	0.000625
0.196608	0.000624
0.209715	0.000619
0.235930	0.000610
0.262144	0.000629
0.288358	0.000636
0.314573	0.000644
0.340787	0.000645
0.367002	0.000650
0.393216	0.000624
0.419430	0.000628
0.471859	0.000634
0.524288	0.000644
0.576717	0.000631
0.629146	0.000621
0.681574	0.000633
0.734003	0.000621
0.786432	0.000609
0.838861	0.000620
0.943718	0.000594
1.048576	0.000616
1.153434	0.000618
1.258291	0.000615
1.363149	0.000621
1.468006	0.000616
1.572864	0.000607
1.677722	0.000592
1.887437	0.000605
2.097152	0.000598
2.306867	0.000590
2.516582	0.000580
2.726298	0.000591
2.936013	0.000589
3.145728	0.000578
3.355443	0.000579
3.774873	0.000571
4.194304	0.000545
4.613734	0.000553
5.033165	0.000548
5.452595	0.000544
5.872025	0.000524
6.291456	0.000528
6.710886	0.000511
7.549747	0.000492
8.388608	0.000483
9.227468	0.000454
