07/06/22	12:18 PM
Experiment Type:	Generic
Modulated Cross Correlation
Scattering angle:	104.0
Duration (s):	300
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	35.348400
Average Count rate  A (kHz):	175.5
Average Count rate  B (kHz):	139.4
Intercept:	1.0000
Cumulant 1st	NaN
Cumulant 2nd	NaN	NaN
Cumulant 3rd	NaN	NaN

Lag time (s)         g2-1
1.600000E-6	0.389039
3.200000E-6	0.383842
4.800000E-6	0.367602
6.400000E-6	0.351228
8.000000E-6	0.336096
9.600000E-6	0.321518
1.120000E-5	0.307446
1.280000E-5	0.294798
1.440000E-5	0.282896
1.600000E-5	0.270390
1.760000E-5	0.259220
1.920000E-5	0.248687
2.080000E-5	0.238295
2.240000E-5	0.228898
2.400000E-5	0.219097
2.560000E-5	0.210170
2.720000E-5	0.202011
3.040000E-5	0.186562
3.360000E-5	0.171759
3.680000E-5	0.158694
4.000000E-5	0.146305
4.320000E-5	0.135689
4.640000E-5	0.126174
4.960000E-5	0.116777
5.280000E-5	0.108193
5.920000E-5	0.093959
6.560000E-5	0.081615
7.200000E-5	0.071045
7.840000E-5	0.062133
8.480000E-5	0.054737
9.120000E-5	0.048349
9.760000E-5	0.042628
0.000104	0.037866
0.000117	0.030543
0.000130	0.024980
0.000142	0.020603
0.000155	0.017149
0.000168	0.014572
0.000181	0.012294
0.000194	0.010856
0.000206	0.009596
0.000232	0.007391
0.000258	0.006364
0.000283	0.005154
0.000309	0.004792
0.000334	0.004531
0.000360	0.004543
0.000386	0.003986
0.000411	0.003660
0.000462	0.003078
0.000514	0.002823
0.000565	0.002232
0.000616	0.001971
0.000667	0.001728
0.000718	0.001515
0.000770	0.001548
0.000821	0.001373
0.000923	0.000865
0.001026	0.001066
0.001128	0.000782
0.001230	0.000513
0.001333	0.000963
0.001435	0.000782
0.001538	0.000301
0.001640	0.000500
0.001845	0.000142
0.002050	0.000147
0.002254	0.000488
0.002459	0.000679
0.002664	-0.000193
0.002869	0.000246
0.003074	0.000143
0.003278	0.000370
0.003688	0.000168
0.004098	0.000273
0.004507	0.000354
0.004917	3.443840E-5
0.005326	0.000125
0.005736	0.000383
0.006146	0.000425
0.006555	0.000335
0.007374	0.000427
0.008194	0.000196
0.009013	0.000256
0.009832	0.000378
0.010651	0.000224
0.011470	0.000157
0.012290	0.000372
0.013109	0.000283
0.014747	7.432049E-5
0.016386	0.000144
0.018024	0.000153
0.019662	0.000219
0.021301	0.000177
0.022939	0.000404
0.024578	0.000243
0.026216	9.804250E-5
0.029493	0.000151
0.032770	0.000156
0.036046	0.000316
0.039323	0.000259
0.042600	0.000326
0.045877	0.000159
0.049154	0.000253
0.052430	0.000206
0.058984	0.000258
0.065538	7.706629E-5
0.072091	0.000232
0.078645	0.000117
0.085198	0.000246
0.091752	0.000156
0.098306	0.000179
0.104859	0.000199
0.117966	0.000170
0.131074	0.000179
0.144181	0.000158
0.157288	0.000157
0.170395	0.000165
0.183502	0.000231
0.196610	0.000214
0.209717	0.000201
0.235931	0.000249
0.262146	0.000183
0.288360	0.000224
0.314574	0.000163
0.340789	0.000208
0.367003	0.000117
0.393218	0.000143
0.419432	0.000189
0.471861	0.000141
0.524290	9.158505E-5
0.576718	0.000118
0.629147	0.000121
0.681576	0.000131
0.734005	7.287200E-5
0.786434	9.796246E-5
0.838862	9.151490E-5
0.943720	9.164331E-5
1.048578	5.794332E-5
1.153435	2.451676E-5
1.258293	6.468457E-5
1.363150	1.085301E-5
1.468008	1.491635E-5
1.572866	-2.972354E-5
1.677723	-4.231809E-5
1.887438	-9.840063E-5
2.097154	-0.000146
2.306869	-0.000192
2.516584	-0.000214
2.726299	-0.000217
2.936014	-0.000241
3.145730	-0.000266
3.355445	-0.000273
3.774875	-0.000338
4.194305	-0.000432
4.613736	-0.000489
5.033166	-0.000587
5.452597	-0.000615
5.872027	-0.000685
6.291458	-0.000764
6.710888	-0.000777
7.549749	-0.000953
8.388610	-0.001139
9.227470	-0.001261
10.066331	-0.001356
10.905192	-0.001444
11.744053	-0.001530
12.582913	-0.001609
13.421775	-0.001699
15.099496	-0.001869
16.777218	-0.001997
18.454939	-0.002212
20.132660	-0.002376
21.810383	-0.002449
23.488104	-0.002688
25.165825	-0.002920
26.843548	-0.003154
30.198990	-0.003606
33.554432	-0.004028
36.909878	-0.004175
40.265320	-0.004489
43.620762	-0.004768
46.976208	-0.005024
50.331650	-0.005238
53.687092	-0.005619
60.397980	-0.006321
67.108864	-0.006840
73.819756	-0.007216
80.530640	-0.007441
87.241524	-0.007601
93.952408	-0.008021
100.663300	-0.008240
107.374184	-0.008542
120.795959	-0.009118
134.217728	-0.009852
147.639496	-0.010152
161.061279	-0.010047
174.483047	-0.009818
187.904816	-0.010315
201.326599	-0.010110
214.748367	-0.008692
241.591919	-0.008540
268.435455	-0.008930

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	185.489655	142.860413
0.052429	175.189972	142.841339
0.104858	174.751282	135.936737
0.157286	178.184509	142.498016
0.209715	186.862946	142.002106
0.262144	202.331543	156.612396
0.314573	183.906555	156.478882
0.367002	181.560516	135.307312
0.419430	199.775696	154.991150
0.471859	183.067322	150.260925
0.524288	184.478760	138.702393
0.576717	172.634125	143.203735
0.629146	165.176392	142.421722
0.681574	186.061859	145.816803
0.734003	183.029175	149.345398
0.786432	185.451508	143.165588
0.838861	187.988281	150.432587
0.891290	180.358887	140.762329
0.943718	186.977386	146.980286
0.996147	192.527771	148.143768
1.048576	187.816620	148.868561
1.101005	174.064636	142.955780
1.153434	193.691254	146.675110
1.205862	182.838440	140.876770
1.258291	194.854736	152.664185
1.310720	180.397034	144.386292
1.363149	188.770294	148.773193
1.415578	178.165436	150.184631
1.468006	183.620453	150.947571
1.520435	181.083679	145.797729
1.572864	188.846588	153.503418
1.625293	196.208954	142.478943
1.677722	189.933777	140.342712
1.730150	183.792114	142.517090
1.782579	196.456909	148.086548
1.835008	187.759399	150.299072
1.887437	185.661316	145.587921
1.939866	186.901093	153.846741
1.992294	189.552307	153.236389
2.044723	208.454132	151.576996
2.097152	191.898346	146.636963
2.149581	195.789337	146.465302
2.202010	200.538635	152.835846
2.254438	179.748535	139.141083
2.306867	178.718567	142.707825
2.359296	181.083679	143.966675
2.411725	172.996521	145.988464
2.464154	189.666748	144.920349
2.516582	179.862976	130.138397
2.569011	181.636810	135.059357
2.621440	189.838409	145.053864
2.673869	192.222595	150.642395
2.726298	182.399750	137.100220
2.778726	170.249939	135.288239
2.831155	205.020905	153.503418
2.883584	189.685822	147.304535
2.936013	199.699402	152.759552
2.988442	188.598633	143.489838
3.040870	182.895660	144.805908
3.093299	174.560547	148.067474
3.145728	181.694031	140.476227
3.198157	179.729462	138.626099
3.250586	171.260834	150.165558
3.303014	194.530487	132.923126
3.355443	176.067352	144.233704
3.407872	179.805756	144.195557
3.460301	183.868408	139.408112
3.512730	186.576843	149.650574
3.565158	184.593201	150.947571
3.617587	192.470551	140.190125
3.670016	176.849365	149.021149
3.722445	176.811218	139.789581
3.774874	190.734863	149.803162
3.827302	190.372467	153.636932
3.879731	170.936584	147.399902
3.932160	181.045532	144.767761
3.984589	179.328918	141.849518
4.037018	182.952881	147.686005
4.089446	185.050964	151.729584
4.141875	174.636841	152.950287
4.194304	182.285309	151.805878
4.246733	182.399750	140.266418
4.299162	189.971924	146.636963
4.351590	187.511444	147.171021
4.404019	190.887451	149.002075
4.456448	196.609497	145.397186
4.508877	181.865692	141.124725
4.561306	179.691315	132.617950
4.613734	171.012878	138.206482
4.666163	185.146332	153.083801
4.718592	180.473328	155.048370
4.771021	188.217163	154.571533
4.823450	180.282593	134.525299
4.875878	191.040039	147.571564
4.928307	178.527832	138.435364
4.980736	198.459625	164.318085
5.033165	172.691345	148.639679
5.085594	180.168152	139.522552
5.138022	193.462372	152.816772
5.190451	202.350616	144.863129
5.242880	192.966461	139.045715
5.295309	193.500519	141.963959
5.347738	184.612274	142.250061
5.400166	180.473328	137.672424
5.452595	190.162659	158.367157
5.505024	182.704926	148.544312
5.557453	182.247162	148.334503
5.609882	176.963806	146.331787
5.662310	193.786621	141.391754
5.714739	190.486908	151.958466
5.767168	201.492310	142.707825
5.819597	191.650391	132.026672
5.872026	197.334290	152.034760
5.924454	188.636780	154.628754
5.976883	171.756744	142.040253
6.029312	174.350739	149.726868
6.081741	185.050964	139.427185
6.134170	165.519714	144.443512
6.186598	187.091827	140.056610
6.239027	190.715790	155.830383
6.291456	179.004669	145.454407
6.343885	189.018250	134.429932
6.396314	184.459686	138.854980
6.448742	176.601410	147.075653
6.501171	180.912018	138.149261
6.553600	181.789398	129.203796
6.606029	180.664062	140.151978
6.658458	172.061920	140.514374
6.710886	195.064545	158.348083
6.763315	182.952881	139.122009
6.815744	191.574097	160.617828
6.868173	187.377930	155.200958
6.920602	190.601349	147.609711
6.973030	179.214478	147.647858
7.025459	178.432465	134.296417
7.077888	175.914764	143.413544
7.130317	188.179016	148.048401
7.182746	198.020935	146.942139
7.235174	187.854767	147.476196
7.287603	190.887451	138.530731
7.340032	175.380707	140.419006
7.392461	178.432465	152.454376
7.444890	186.843872	150.928497
7.497318	175.895691	153.846741
7.549747	192.756653	159.702301
7.602176	189.914703	142.288208
7.654605	180.130005	144.977570
7.707034	191.001892	150.718689
7.759462	193.042755	159.282684
7.811891	182.037354	145.339966
7.864320	186.691284	143.222809
7.916749	190.830231	146.999359
7.969178	178.337097	150.966644
8.021606	180.091858	139.198303
8.074035	173.492432	135.478973
8.126464	182.418823	156.822205
8.178893	184.059143	147.361755
8.231322	190.010071	143.165588
8.283750	195.274353	152.339935
8.336179	174.922943	137.863159
8.388608	174.865723	146.312714
8.441037	203.056335	148.887634
8.493466	192.642212	150.985718
8.545894	193.691254	139.408112
8.598323	177.822113	141.906738
8.650752	200.748444	154.533386
8.703181	191.287994	147.266388
8.755610	176.753998	143.260956
8.808038	181.617737	141.391754
8.860467	186.672211	143.108368
8.912896	179.519653	150.413513
8.965325	185.680389	142.955780
9.017754	182.971954	142.803192
9.070182	200.271606	149.002075
9.122611	192.890167	153.636932
9.175040	177.135468	138.092041
9.227469	179.672241	144.424438
9.279898	185.031891	146.579742
9.332326	183.658600	148.849487
9.384755	182.113647	148.029327
9.437184	187.644958	143.032074
9.489613	189.170837	148.315430
9.542042	180.034637	140.533447
9.594470	187.015533	148.200989
9.646899	189.476013	143.814087
9.699328	181.427002	136.775970
9.751757	175.876617	145.244598
9.804186	190.486908	143.051147
9.856614	180.644989	149.040222
9.909043	178.737640	133.590698
9.961472	169.258118	131.244659
10.013901	189.151764	140.361786
10.066330	190.448761	145.549774
10.118758	193.729401	141.372681
10.171187	190.162659	150.356293
10.223616	177.955627	146.121979
10.276045	181.198120	141.429901
10.328474	182.075500	142.612457
10.380902	168.113708	134.868622
10.433331	180.854797	142.517090
10.485760	174.903870	145.816803
10.538189	174.674988	147.018433
10.590618	188.713074	159.187317
10.643046	179.290771	127.506256
10.695475	184.192657	146.312714
10.747904	192.718506	135.879517
10.800333	178.413391	139.522552
10.852762	172.367096	144.290924
10.905190	183.467865	144.729614
10.957619	180.072784	138.664246
11.010048	180.835724	157.890320
11.062477	173.282623	134.792328
11.114906	172.233582	148.029327
11.167334	189.266205	147.800446
11.219763	180.377960	152.530670
11.272192	180.644989	135.974884
11.324621	180.149078	140.514374
11.377050	174.636841	151.329041
11.429478	173.549652	134.601593
11.481907	174.217224	131.511688
11.534336	181.217194	134.735107
11.586765	180.892944	154.533386
11.639194	179.500580	149.517059
11.691622	179.729462	143.890381
11.744051	199.337006	152.702332
11.796480	181.255341	151.004791
11.848909	183.868408	142.993927
11.901338	183.086395	139.617920
11.953766	176.239014	147.743225
12.006195	180.740356	143.814087
12.058624	194.664001	156.478882
12.111053	173.740387	130.996704
12.163482	183.753967	133.514404
12.215910	193.042755	151.920319
12.268339	163.345337	131.702423
12.320768	194.091797	146.865845
12.373197	183.029175	139.636993
12.425626	206.451416	136.413574
12.478054	191.726685	151.348114
12.530483	178.470612	130.195618
12.582912	166.816711	137.462616
12.635341	198.001862	140.094757
12.687770	192.508698	143.318176
12.740198	183.868408	145.263672
12.792627	174.427032	141.735077
12.845056	162.448883	131.893158
12.897485	172.996521	146.694183
12.949914	192.241669	150.966644
13.002342	189.990997	144.443512
13.054771	177.803040	143.661499
13.107200	174.407959	134.048462
13.159629	192.298889	148.983002
13.212058	189.914703	152.168274
13.264486	195.693970	153.427124
13.316915	180.492401	133.419037
13.369344	174.198151	143.013000
13.421773	172.004700	144.042969
13.474202	177.764893	138.378143
13.526630	172.405243	136.604309
13.579059	198.707581	145.492554
13.631488	184.211731	134.506226
13.683917	185.241699	147.819519
13.736346	175.380707	142.440796
13.788774	175.189972	134.639740
13.841203	205.764771	144.577026
13.893632	173.988342	144.424438
13.946061	172.710419	136.737823
13.998490	187.416077	149.135590
14.050918	173.206329	135.345459
14.103347	193.061829	147.514343
14.155776	175.323486	140.228271
14.208205	181.274414	140.037537
14.260634	183.696747	141.124725
14.313062	176.391602	147.800446
14.365491	183.544159	146.789551
14.417920	176.258087	138.244629
14.470349	181.808472	148.048401
14.522778	180.664062	147.075653
14.575206	180.892944	139.865875
14.627635	186.920166	159.301758
14.680064	184.249878	146.865845
14.732493	192.890167	154.895782
14.784922	188.446045	144.596100
14.837350	182.533264	137.062073
14.889779	171.070099	137.042999
14.942208	175.971985	148.429871
14.994637	187.454224	150.203705
15.047066	163.173676	132.026672
15.099494	180.549622	144.405365
15.151923	177.230835	135.097504
15.204352	173.759460	137.386322
15.256781	179.729462	141.296387
15.309210	174.732208	148.220062
15.361638	188.732147	147.609711
15.414067	169.525146	147.438049
15.466496	190.448761	138.664246
15.518925	177.917480	134.353638
15.571354	167.388916	140.190125
15.623782	183.353424	151.729584
15.676211	171.089172	133.972168
15.728640	182.266235	145.931244
15.781069	174.217224	145.206451
15.833498	168.399811	131.225586
15.885926	180.053711	151.500702
15.938355	191.955566	150.737762
15.990784	173.892975	148.906708
16.043213	178.108215	135.707855
16.095642	189.342499	150.890350
16.148070	170.478821	140.724182
16.200499	177.650452	137.214661
16.252928	183.525085	137.195587
16.305357	181.407928	144.329071
16.357786	185.604095	136.089325
16.410214	183.124542	143.356323
16.462643	180.416107	148.353577
16.515072	200.405121	147.285461
16.567501	181.694031	139.789581
16.619930	183.982849	135.231018
16.672358	167.999268	137.348175
16.724787	177.745819	138.263702
16.777216	186.195374	140.914917
16.829645	168.323517	143.985748
16.882074	187.702179	141.448975
16.934502	165.500641	129.222870
16.986931	195.713043	138.187408
17.039360	181.808472	145.168304
17.091789	181.217194	138.053894
17.144218	186.767578	144.329071
17.196646	183.715820	154.056549
17.249075	180.969238	140.266418
17.301504	178.489685	141.506195
17.353933	168.876648	147.056580
17.406362	174.846649	148.983002
17.458790	185.279846	148.487091
17.511219	182.628632	143.451691
17.563648	169.925690	145.092010
17.616077	177.249908	134.773254
17.668506	181.388855	143.470764
17.720934	182.380676	141.220093
17.773363	175.495148	142.765045
17.825792	177.192688	143.585205
17.878221	192.298889	158.481598
17.930650	174.064636	148.582458
17.983078	185.031891	146.541595
18.035507	178.031921	154.972076
18.087936	193.977356	143.089294
18.140365	188.426971	144.329071
18.192794	187.129974	143.299103
18.245222	201.072693	151.576996
18.297651	176.429749	138.359070
18.350080	190.525055	151.729584
18.402509	175.228119	135.974884
18.454938	192.432404	142.040253
18.507366	176.830292	136.089325
18.559795	184.993744	137.157440
18.612224	181.427002	148.601532
18.664653	184.898376	142.230988
18.717082	174.121857	135.726929
18.769510	178.356171	144.462585
18.821939	178.070068	147.647858
18.874368	178.775787	144.062042
18.926797	183.467865	145.473480
18.979226	185.680389	142.688751
19.031654	185.470581	141.677856
19.084083	180.644989	135.173798
19.136512	186.080933	136.756897
19.188941	180.740356	137.405396
19.241370	188.426971	143.089294
19.293798	179.386139	140.609741
19.346227	180.835724	143.127441
19.398656	177.478790	146.045685
19.451085	189.571381	137.062073
19.503514	179.634094	135.250092
19.555942	176.258087	142.078400
19.608371	176.982880	144.119263
19.660800	180.454254	144.863129
19.713229	164.508820	142.688751
19.765658	180.912018	145.950317
19.818086	183.296204	155.467987
19.870515	193.996429	148.105621
19.922944	183.715820	142.650604
19.975373	173.645020	148.487091
20.027802	184.974670	134.677887
20.080230	177.688599	160.999298
20.132659	176.753998	134.277344
20.185088	179.672241	137.748718
20.237517	180.644989	147.190094
20.289946	179.862976	138.702393
20.342374	175.991058	143.222809
20.394803	182.895660	143.146515
20.447232	188.121796	133.914948
20.499661	178.413391	144.939423
20.552090	172.729492	139.751434
20.604518	173.969269	135.631561
20.656947	163.154602	132.427216
20.709376	176.258087	124.206543
20.761805	188.579559	146.083832
20.814234	169.429779	141.067505
20.866662	188.217163	148.811340
20.919091	169.372559	141.735077
20.971520	185.031891	132.446289
21.023949	182.876587	141.582489
21.076378	177.917480	147.056580
21.128806	176.563263	146.598816
21.181235	198.650360	145.397186
21.233664	182.971954	137.405396
21.286093	172.710419	148.410797
21.338522	173.377991	147.953033
21.390950	170.593262	139.236450
21.443379	177.364349	146.846771
21.495808	176.734924	134.582520
21.548237	171.871185	142.002106
21.600666	192.584991	142.021179
21.653094	172.176361	137.844086
21.705523	188.312531	140.151978
21.757952	175.495148	147.266388
21.810381	167.942047	137.119293
21.862810	187.129974	147.457123
21.915238	176.029205	153.522491
21.967667	170.001984	138.378143
22.020096	194.625854	151.977539
22.072525	182.151794	148.773193
22.124954	180.339813	153.236389
22.177382	188.732147	153.942108
22.229811	181.026459	142.593384
22.282240	189.933777	153.007507
22.334669	184.364319	141.563416
22.387098	178.050995	132.274628
22.439526	184.249878	134.391785
22.491955	187.301636	143.337250
22.544384	176.830292	143.756866
22.596813	182.209015	135.517120
22.649242	175.437927	141.696930
22.701670	180.892944	140.514374
22.754099	165.367126	136.013031
22.806528	178.050995	155.048370
22.858957	176.677704	143.299103
22.911386	191.535950	147.666931
22.963814	179.557800	142.593384
23.016243	184.612274	140.323639
23.068672	190.277100	151.576996
23.121101	196.189880	142.879486
23.173530	187.168121	147.380829
23.225958	174.999237	137.767792
23.278387	186.748505	136.146545
23.330816	188.808441	149.517059
23.383245	176.105499	144.214630
23.435674	182.209015	153.312683
23.488102	184.307098	141.143799
23.540531	188.274384	143.165588
23.592960	171.546936	137.996674
23.645389	189.704895	149.650574
23.697818	184.326172	147.800446
23.750246	185.508728	148.124695
23.802675	187.301636	149.803162
23.855104	180.091858	151.195526
23.907533	183.372498	148.601532
23.959962	187.454224	148.811340
24.012390	182.342529	146.179199
24.064819	193.042755	148.963928
24.117248	169.372559	130.023956
24.169677	171.623230	138.835907
24.222106	190.067291	148.029327
24.274534	180.854797	130.729675
24.326963	188.694000	137.481689
24.379392	184.402466	140.228271
24.431821	174.369812	132.999420
24.484250	181.274414	139.732361
24.536678	184.574127	142.459869
24.589107	188.846588	153.236389
24.641536	166.721344	134.944916
24.693965	164.070129	145.549774
24.746394	184.803009	142.421722
24.798822	173.015594	156.421661
24.851251	180.664062	146.675110
24.903680	190.315247	153.331757
24.956109	187.377930	143.184662
25.008538	182.533264	149.993896
25.060966	178.527832	135.383606
25.113395	178.318024	143.795013
25.165824	182.304382	148.582458
25.218253	196.895599	155.735016
25.270682	180.892944	137.195587
25.323110	178.470612	138.778687
25.375539	176.200867	138.282776
25.427968	174.503326	135.192871
25.480397	172.119141	138.683319
25.532826	182.819366	148.715973
25.585254	172.615051	145.606995
25.637683	190.811157	157.566071
25.690112	172.653198	142.726898
25.742541	163.841248	144.062042
25.794970	178.833008	151.290894
25.847398	182.838440	145.339966
25.899827	180.969238	137.100220
25.952256	175.704956	140.285492
26.004685	188.655853	150.547028
26.057114	179.767609	150.203705
26.109542	175.971985	153.026581
26.161971	171.070099	135.345459
26.214400	175.952911	152.130127
26.266829	182.189941	145.473480
26.319258	185.146332	152.721405
26.371686	188.312531	145.435333
26.424115	177.402496	142.097473
26.476544	173.301697	130.214691
26.528973	179.195404	146.903992
26.581402	194.129944	145.854950
26.633830	188.674927	150.966644
26.686259	183.258057	139.770508
26.738688	167.140961	135.726929
26.791117	174.827576	135.097504
26.843546	188.446045	154.628754
26.895974	175.704956	146.522522
26.948403	182.399750	138.282776
27.000832	174.064636	139.884949
27.053261	172.805786	138.740540
27.105690	184.726715	147.857666
27.158118	164.680481	133.991241
27.210547	175.724030	140.075684
27.262976	195.426941	143.013000
27.315405	180.282593	149.059296
27.367834	181.674957	147.647858
27.420262	179.424286	134.449005
27.472691	177.135468	157.222748
27.525120	171.508789	157.394409
27.577549	180.416107	134.716034
27.629978	178.508759	140.666962
27.682406	172.595978	143.318176
27.734835	174.503326	143.299103
27.787264	174.427032	143.566132
27.839693	191.764832	147.914886
27.892122	175.437927	155.200958
27.944550	181.331635	142.230988
27.996979	184.345245	141.963959
