07/06/22	12:27 PM
Experiment Type:	Generic
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	450
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	32.042400
Average Count rate  A (kHz):	216.5
Average Count rate  B (kHz):	212.3
Intercept:	0.9744
Cumulant 1st	12536.69
Cumulant 2nd	12806.16	0.06
Cumulant 3rd	14001.78	0.28

Lag time (s)         g2-1
1.250000E-8	0.978474
2.500000E-8	0.969840
3.750000E-8	0.969221
5.000000E-8	0.975273
6.250000E-8	0.977189
7.500000E-8	0.971825
8.750000E-8	0.973102
1.000000E-7	0.975010
1.125000E-7	0.973191
1.250000E-7	0.967034
1.375000E-7	0.969790
1.500000E-7	0.969848
1.625000E-7	0.972537
1.750000E-7	0.968598
1.875000E-7	0.974217
2.000000E-7	0.971461
2.125000E-7	0.972591
2.375000E-7	0.967166
2.625000E-7	0.967667
2.875000E-7	0.964530
3.125000E-7	0.964449
3.375000E-7	0.961608
3.625000E-7	0.964666
3.875000E-7	0.966353
4.125000E-7	0.966388
4.625000E-7	0.961831
5.125000E-7	0.961190
5.625000E-7	0.960087
6.125000E-7	0.957714
6.625000E-7	0.956112
7.125000E-7	0.954027
7.625000E-7	0.954892
8.125000E-7	0.953527
9.125000E-7	0.950310
1.012500E-6	0.947055
1.112500E-6	0.944711
1.212500E-6	0.940979
1.312500E-6	0.942562
1.412500E-6	0.935837
1.512500E-6	0.933396
1.612500E-6	0.931480
1.812500E-6	0.925803
2.012500E-6	0.921359
2.212500E-6	0.916776
2.412500E-6	0.909930
2.612500E-6	0.905005
2.812500E-6	0.899817
3.012500E-6	0.895436
3.212500E-6	0.891493
3.612500E-6	0.880687
4.012500E-6	0.870469
4.412500E-6	0.862116
4.812500E-6	0.851932
5.212500E-6	0.843003
5.612500E-6	0.834077
6.012500E-6	0.824017
6.412500E-6	0.815302
7.212500E-6	0.797713
8.012500E-6	0.780269
8.812500E-6	0.763693
9.612500E-6	0.747981
1.041250E-5	0.731486
1.121250E-5	0.716809
1.201250E-5	0.701078
1.281250E-5	0.687014
1.441250E-5	0.658408
1.601250E-5	0.631060
1.761250E-5	0.605203
1.921250E-5	0.580748
2.081250E-5	0.557317
2.241250E-5	0.535168
2.401250E-5	0.513765
2.561250E-5	0.493262
2.881250E-5	0.454896
3.201250E-5	0.420368
3.521250E-5	0.388476
3.841250E-5	0.359428
4.161250E-5	0.333010
4.481250E-5	0.308903
4.801250E-5	0.286653
5.121250E-5	0.266670
5.761250E-5	0.230991
6.401250E-5	0.200619
7.041250E-5	0.174948
7.681250E-5	0.153149
8.321250E-5	0.134480
8.961250E-5	0.118822
9.601250E-5	0.105074
0.000102	0.094039
0.000115	0.075126
0.000128	0.061233
0.000141	0.050497
0.000154	0.042506
0.000166	0.036334
0.000179	0.031412
0.000192	0.027486
0.000205	0.024387
0.000230	0.019439
0.000256	0.016301
0.000282	0.014163
0.000307	0.012306
0.000333	0.010952
0.000358	0.010092
0.000384	0.009133
0.000410	0.008261
0.000461	0.006795
0.000512	0.006225
0.000563	0.005590
0.000614	0.005279
0.000666	0.004692
0.000717	0.004549
0.000768	0.003778
0.000819	0.003585
0.000922	0.003086
0.001024	0.002743
0.001126	0.002260
0.001229	0.001697
0.001331	0.001306
0.001434	0.001170
0.001536	0.001148
0.001638	0.000693
0.001843	0.000470
0.002048	0.000703
0.002253	0.000684
0.002458	0.000406
0.002662	0.000220
0.002867	0.000484
0.003072	0.000196
0.003277	2.539264E-6
0.003686	0.000438
0.004096	0.000434
0.004506	0.000230
0.004915	-0.000125
0.005325	0.000140
0.005734	-3.102741E-5
0.006144	9.842626E-5
0.006554	0.000198
0.007373	-3.229074E-5
0.008192	9.411197E-5
0.009011	0.000156
0.009830	0.000205
0.010650	0.000135
0.011469	8.280995E-5
0.012288	9.897541E-5
0.013107	0.000154
0.014746	0.000141
0.016384	0.000101
0.018022	-2.022780E-5
0.019661	0.000211
0.021299	0.000293
0.022938	0.000201
0.024576	0.000153
0.026214	0.000224
0.029491	0.000126
0.032768	0.000137
0.036045	0.000186
0.039322	-2.325016E-5
0.042598	0.000240
0.045875	0.000150
0.049152	0.000217
0.052429	9.836134E-5
0.058982	0.000112
0.065536	0.000142
0.072090	0.000163
0.078643	0.000150
0.085197	7.502815E-5
0.091750	0.000127
0.098304	6.162102E-5
0.104858	0.000136
0.117965	9.303658E-5
0.131072	0.000102
0.144179	6.766719E-5
0.157286	0.000150
0.170394	0.000141
0.183501	0.000113
0.196608	8.364311E-5
0.209715	0.000103
0.235930	8.454175E-5
0.262144	0.000189
0.288358	9.492516E-5
0.314573	6.991277E-5
0.340787	8.465637E-5
0.367002	0.000121
0.393216	0.000106
0.419430	6.371801E-5
0.471859	6.603278E-5
0.524288	9.027598E-5
0.576717	6.679141E-5
0.629146	6.122522E-5
0.681574	1.155411E-5
0.734003	3.672440E-5
0.786432	1.896336E-5
0.838861	4.502008E-5
0.943718	4.780514E-6
1.048576	1.487572E-5
1.153434	-1.405844E-5
1.258291	-3.179695E-5
1.363149	-2.527854E-5
