07/06/22	12:10 PM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	32.042400
Average Count rate  A (kHz):	212.7
Average Count rate  B (kHz):	212.7
Intercept:	0.9778
Cumulant 1st	12597.91
Cumulant 2nd	12819.90	0.05
Cumulant 3rd	14083.54	0.27

Lag time (s)         g2-1
5.000000E-8	1.298411
6.250000E-8	1.158994
7.500000E-8	1.102715
8.750000E-8	1.066480
1.000000E-7	1.045694
1.125000E-7	1.040439
1.250000E-7	1.027671
1.375000E-7	1.019636
1.500000E-7	1.007391
1.625000E-7	1.009137
1.750000E-7	1.006180
1.875000E-7	1.000901
2.000000E-7	0.989250
2.125000E-7	0.997715
2.375000E-7	0.991367
2.625000E-7	0.988104
2.875000E-7	0.984598
3.125000E-7	0.986385
3.375000E-7	0.980697
3.625000E-7	0.973282
3.875000E-7	0.982567
4.125000E-7	0.972864
4.625000E-7	0.970613
5.125000E-7	0.970254
5.625000E-7	0.965509
6.125000E-7	0.964095
6.625000E-7	0.960454
7.125000E-7	0.958903
7.625000E-7	0.958577
8.125000E-7	0.957482
9.125000E-7	0.955267
1.012500E-6	0.951376
1.112500E-6	0.946140
1.212500E-6	0.943082
1.312500E-6	0.940691
1.412500E-6	0.939240
1.512500E-6	0.935239
1.612500E-6	0.931892
1.812500E-6	0.927308
2.012500E-6	0.921682
2.212500E-6	0.917079
2.412500E-6	0.911003
2.612500E-6	0.906180
2.812500E-6	0.899177
3.012500E-6	0.895381
3.212500E-6	0.889909
3.612500E-6	0.879417
4.012500E-6	0.868142
4.412500E-6	0.860483
4.812500E-6	0.851013
5.212500E-6	0.840809
5.612500E-6	0.831459
6.012500E-6	0.823188
6.412500E-6	0.813364
7.212500E-6	0.796277
8.012500E-6	0.779142
8.812500E-6	0.763185
9.612500E-6	0.745359
1.041250E-5	0.730873
1.121250E-5	0.714978
1.201250E-5	0.699702
1.281250E-5	0.685312
1.441250E-5	0.655970
1.601250E-5	0.628954
1.761250E-5	0.603262
1.921250E-5	0.578880
2.081250E-5	0.554945
2.241250E-5	0.532641
2.401250E-5	0.511064
2.561250E-5	0.490756
2.881250E-5	0.452627
3.201250E-5	0.417658
3.521250E-5	0.386118
3.841250E-5	0.356794
4.161250E-5	0.330220
4.481250E-5	0.305643
4.801250E-5	0.283874
5.121250E-5	0.263694
5.761250E-5	0.228054
6.401250E-5	0.197527
7.041250E-5	0.171893
7.681250E-5	0.150269
8.321250E-5	0.132046
8.961250E-5	0.116173
9.601250E-5	0.102717
0.000102	0.091691
0.000115	0.073503
0.000128	0.059608
0.000141	0.049044
0.000154	0.040691
0.000166	0.034328
0.000179	0.029594
0.000192	0.025747
0.000205	0.022765
0.000230	0.018435
0.000256	0.015222
0.000282	0.013332
0.000307	0.011651
0.000333	0.010315
0.000358	0.009263
0.000384	0.008305
0.000410	0.007688
0.000461	0.006354
0.000512	0.005991
0.000563	0.005470
0.000614	0.004533
0.000666	0.004299
0.000717	0.003969
0.000768	0.003688
0.000819	0.003303
0.000922	0.002828
0.001024	0.002499
0.001126	0.002050
0.001229	0.002303
0.001331	0.001788
0.001434	0.001554
0.001536	0.001774
0.001638	0.001310
0.001843	0.001097
0.002048	0.000918
0.002253	0.000902
0.002458	0.000442
0.002662	0.000248
0.002867	0.000300
0.003072	0.000186
0.003277	-0.000101
0.003686	0.000505
0.004096	0.000267
0.004506	0.000796
0.004915	0.000679
0.005325	0.000613
0.005734	0.000360
0.006144	0.000378
0.006554	0.000361
0.007373	0.000772
0.008192	0.000154
0.009011	0.000449
0.009830	0.000669
0.010650	0.000786
0.011469	0.000202
0.012288	0.000343
0.013107	0.000513
0.014746	0.000379
0.016384	0.000498
0.018022	0.000642
0.019661	0.000519
0.021299	0.000331
0.022938	0.000339
0.024576	0.000380
0.026214	0.000356
0.029491	0.000316
0.032768	0.000266
0.036045	0.000266
0.039322	0.000133
0.042598	0.000460
0.045875	0.000464
0.049152	0.000425
0.052429	0.000408
0.058982	0.000460
0.065536	0.000490
0.072090	0.000374
0.078643	0.000376
0.085197	0.000342
0.091750	0.000455
0.098304	0.000372
0.104858	0.000425
0.117965	0.000427
0.131072	0.000450
0.144179	0.000445
0.157286	0.000446
0.170394	0.000449
0.183501	0.000375
0.196608	0.000365
0.209715	0.000438
0.235930	0.000421
0.262144	0.000506
0.288358	0.000506
0.314573	0.000429
0.340787	0.000423
0.367002	0.000435
0.393216	0.000486
0.419430	0.000541
0.471859	0.000543
0.524288	0.000576
0.576717	0.000606
0.629146	0.000617
0.681574	0.000617
0.734003	0.000594
0.786432	0.000613
0.838861	0.000687
0.943718	0.000692
1.048576	0.000733
1.153434	0.000779
1.258291	0.000827
1.363149	0.000852
1.468006	0.000928
1.572864	0.000920
1.677722	0.000958
1.887437	0.001013
2.097152	0.001121
2.306867	0.001155
2.516582	0.001255
2.726298	0.001327
2.936013	0.001364
3.145728	0.001406
3.355443	0.001449
3.774873	0.001540
4.194304	0.001566
4.613734	0.001536
5.033165	0.001542
5.452595	0.001493
5.872025	0.001453
6.291456	0.001380
6.710886	0.001328
7.549747	0.001279
8.388608	0.001173
9.227468	0.001047
