07/06/22	11:21 AM
Experiment Type:	Generic
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	141.325500
Average Count rate  A (kHz):	188.5
Average Count rate  B (kHz):	184.9
Intercept:	1.0000
Cumulant 1st	420.72
Cumulant 2nd	935.37	0.86
Cumulant 3rd	1774.40	1.18

Lag time (s)         g2-1
1.250000E-8	1.300258
2.500000E-8	1.302656
3.750000E-8	1.297456
5.000000E-8	1.299824
6.250000E-8	1.299557
7.500000E-8	1.297821
8.750000E-8	1.295038
1.000000E-7	1.300222
1.125000E-7	1.300316
1.250000E-7	1.299831
1.375000E-7	1.294244
1.500000E-7	1.289927
1.625000E-7	1.302815
1.750000E-7	1.299626
1.875000E-7	1.296795
2.000000E-7	1.298287
2.125000E-7	1.297300
2.375000E-7	1.294959
2.625000E-7	1.292119
2.875000E-7	1.297495
3.125000E-7	1.289625
3.375000E-7	1.292188
3.625000E-7	1.294015
3.875000E-7	1.294488
4.125000E-7	1.293490
4.625000E-7	1.292593
5.125000E-7	1.292494
5.625000E-7	1.291349
6.125000E-7	1.289488
6.625000E-7	1.286256
7.125000E-7	1.287354
7.625000E-7	1.285458
8.125000E-7	1.284790
9.125000E-7	1.283025
1.012500E-6	1.281635
1.112500E-6	1.278839
1.212500E-6	1.279826
1.312500E-6	1.276140
1.412500E-6	1.274672
1.512500E-6	1.273169
1.612500E-6	1.271463
1.812500E-6	1.269122
2.012500E-6	1.264693
2.212500E-6	1.262015
2.412500E-6	1.259003
2.612500E-6	1.255668
2.812500E-6	1.251075
3.012500E-6	1.247652
3.212500E-6	1.244954
3.612500E-6	1.239095
4.012500E-6	1.232580
4.412500E-6	1.226277
4.812500E-6	1.220867
5.212500E-6	1.214436
5.612500E-6	1.208286
6.012500E-6	1.203051
6.412500E-6	1.197005
7.212500E-6	1.185619
8.012500E-6	1.173460
8.812500E-6	1.163397
9.612500E-6	1.152345
1.041250E-5	1.141959
1.121250E-5	1.131582
1.201250E-5	1.121618
1.281250E-5	1.110990
1.441250E-5	1.092477
1.601250E-5	1.074123
1.761250E-5	1.056996
1.921250E-5	1.039576
2.081250E-5	1.023730
2.241250E-5	1.008275
2.401250E-5	0.993433
2.561250E-5	0.979019
2.881250E-5	0.952213
3.201250E-5	0.927330
3.521250E-5	0.904290
3.841250E-5	0.883626
4.161250E-5	0.863644
4.481250E-5	0.845685
4.801250E-5	0.828773
5.121250E-5	0.813447
5.761250E-5	0.785473
6.401250E-5	0.761322
7.041250E-5	0.740154
7.681250E-5	0.722158
8.321250E-5	0.705977
8.961250E-5	0.692143
9.601250E-5	0.679950
0.000102	0.669517
0.000115	0.651567
0.000128	0.637274
0.000141	0.625950
0.000154	0.616907
0.000166	0.609896
0.000179	0.603817
0.000192	0.598934
0.000205	0.595167
0.000230	0.589069
0.000256	0.584583
0.000282	0.581121
0.000307	0.578095
0.000333	0.575065
0.000358	0.572641
0.000384	0.570557
0.000410	0.568565
0.000461	0.564833
0.000512	0.561012
0.000563	0.557879
0.000614	0.555305
0.000666	0.551945
0.000717	0.548748
0.000768	0.546022
0.000819	0.542870
0.000922	0.537393
0.001024	0.531806
0.001126	0.526817
0.001229	0.521873
0.001331	0.517340
0.001434	0.512251
0.001536	0.507499
0.001638	0.503289
0.001843	0.494956
0.002048	0.487679
0.002253	0.479820
0.002458	0.472784
0.002662	0.466050
0.002867	0.459411
0.003072	0.453715
0.003277	0.448096
0.003686	0.437894
0.004096	0.428339
0.004506	0.419276
0.004915	0.411474
0.005325	0.404565
0.005734	0.398059
0.006144	0.391752
0.006554	0.386174
0.007373	0.376117
0.008192	0.367661
0.009011	0.360323
0.009830	0.353882
0.010650	0.347777
0.011469	0.341702
0.012288	0.336667
0.013107	0.331980
0.014746	0.324351
0.016384	0.317326
0.018022	0.311134
0.019661	0.305661
0.021299	0.301148
0.022938	0.297013
0.024576	0.292029
0.026214	0.287778
0.029491	0.280470
0.032768	0.273987
0.036045	0.268695
0.039322	0.263037
0.042598	0.258307
0.045875	0.254076
0.049152	0.249431
0.052429	0.246302
0.058982	0.241223
0.065536	0.237030
0.072090	0.233167
0.078643	0.228918
0.085197	0.225193
0.091750	0.222762
0.098304	0.220859
0.104858	0.218497
0.117965	0.215207
0.131072	0.212083
0.144179	0.211665
0.157286	0.209314
0.170394	0.208339
0.183501	0.205366
0.196608	0.203242
0.209715	0.200085
0.235930	0.195518
0.262144	0.190462
0.288358	0.185198
0.314573	0.179670
0.340787	0.176282
0.367002	0.174577
0.393216	0.175745
0.419430	0.176017
0.471859	0.174702
0.524288	0.171976
0.576717	0.173016
0.629146	0.170695
0.681574	0.163897
0.734003	0.163469
0.786432	0.166564
0.838861	0.166132
0.943718	0.162322
1.048576	0.162513
1.153434	0.158148
1.258291	0.158229
1.363149	0.156650
1.468006	0.162133
1.572864	0.160326
1.677722	0.161544
1.887437	0.156818
2.097152	0.156663
2.306867	0.156042
2.516582	0.160509
2.726298	0.162149
2.936013	0.159837
3.145728	0.160621
3.355443	0.158992
