07/06/22	11:05 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	141.325500
Average Count rate  A (kHz):	168.7
Average Count rate  B (kHz):	168.7
Intercept:	1.0137
Cumulant 1st	4471.67
Cumulant 2nd	4285.54	0.15
Cumulant 3rd	5887.20	0.63

Lag time (s)         g2-1
5.000000E-8	1.433005
6.250000E-8	1.249255
7.500000E-8	1.169987
8.750000E-8	1.132221
1.000000E-7	1.104861
1.125000E-7	1.090715
1.250000E-7	1.076144
1.375000E-7	1.070561
1.500000E-7	1.063844
1.625000E-7	1.050417
1.750000E-7	1.051647
1.875000E-7	1.047594
2.000000E-7	1.043438
2.125000E-7	1.041848
2.375000E-7	1.035422
2.625000E-7	1.031973
2.875000E-7	1.030226
3.125000E-7	1.026346
3.375000E-7	1.022496
3.625000E-7	1.020663
3.875000E-7	1.016143
4.125000E-7	1.018896
4.625000E-7	1.012938
5.125000E-7	1.013732
5.625000E-7	1.010756
6.125000E-7	1.007528
6.625000E-7	1.003883
7.125000E-7	1.001112
7.625000E-7	1.001539
8.125000E-7	1.000317
9.125000E-7	0.997642
1.012500E-6	0.992650
1.112500E-6	0.991561
1.212500E-6	0.989162
1.312500E-6	0.986003
1.412500E-6	0.983784
1.512500E-6	0.982768
1.612500E-6	0.981099
1.812500E-6	0.976458
2.012500E-6	0.972743
2.212500E-6	0.968896
2.412500E-6	0.965529
2.612500E-6	0.961407
2.812500E-6	0.958414
3.012500E-6	0.953181
3.212500E-6	0.949324
3.612500E-6	0.942763
4.012500E-6	0.934797
4.412500E-6	0.928442
4.812500E-6	0.922447
5.212500E-6	0.914781
5.612500E-6	0.907801
6.012500E-6	0.901764
6.412500E-6	0.895124
7.212500E-6	0.882147
8.012500E-6	0.869312
8.812500E-6	0.857093
9.612500E-6	0.845421
1.041250E-5	0.833415
1.121250E-5	0.822415
1.201250E-5	0.811031
1.281250E-5	0.800207
1.441250E-5	0.778570
1.601250E-5	0.758224
1.761250E-5	0.739118
1.921250E-5	0.720742
2.081250E-5	0.702493
2.241250E-5	0.685238
2.401250E-5	0.669726
2.561250E-5	0.653911
2.881250E-5	0.624518
3.201250E-5	0.597765
3.521250E-5	0.572736
3.841250E-5	0.549485
4.161250E-5	0.528361
4.481250E-5	0.508892
4.801250E-5	0.490843
5.121250E-5	0.474575
5.761250E-5	0.444688
6.401250E-5	0.419143
7.041250E-5	0.396851
7.681250E-5	0.377798
8.321250E-5	0.361054
8.961250E-5	0.346792
9.601250E-5	0.334132
0.000102	0.323319
0.000115	0.305036
0.000128	0.290796
0.000141	0.279444
0.000154	0.270796
0.000166	0.263430
0.000179	0.257438
0.000192	0.252552
0.000205	0.248729
0.000230	0.242365
0.000256	0.237781
0.000282	0.234140
0.000307	0.231193
0.000333	0.228728
0.000358	0.226478
0.000384	0.224449
0.000410	0.222771
0.000461	0.219302
0.000512	0.215985
0.000563	0.212905
0.000614	0.210266
0.000666	0.207513
0.000717	0.204634
0.000768	0.201896
0.000819	0.199170
0.000922	0.194142
0.001024	0.189432
0.001126	0.184596
0.001229	0.180056
0.001331	0.175278
0.001434	0.171316
0.001536	0.167272
0.001638	0.163390
0.001843	0.156003
0.002048	0.149632
0.002253	0.143607
0.002458	0.137892
0.002662	0.132386
0.002867	0.127410
0.003072	0.122917
0.003277	0.118675
0.003686	0.111095
0.004096	0.104654
0.004506	0.098793
0.004915	0.093832
0.005325	0.089562
0.005734	0.085367
0.006144	0.082189
0.006554	0.079338
0.007373	0.074663
0.008192	0.070643
0.009011	0.067483
0.009830	0.064522
0.010650	0.062185
0.011469	0.060256
0.012288	0.058689
0.013107	0.057329
0.014746	0.055393
0.016384	0.054159
0.018022	0.052685
0.019661	0.052101
0.021299	0.050967
0.022938	0.050189
0.024576	0.049447
0.026214	0.048896
0.029491	0.047877
0.032768	0.047021
0.036045	0.045802
0.039322	0.044216
0.042598	0.043132
0.045875	0.042546
0.049152	0.041692
0.052429	0.041168
0.058982	0.039512
0.065536	0.037817
0.072090	0.036883
0.078643	0.036121
0.085197	0.035491
0.091750	0.034487
0.098304	0.033855
0.104858	0.033563
0.117965	0.032699
0.131072	0.031771
0.144179	0.031159
0.157286	0.030346
0.170394	0.030024
0.183501	0.028809
0.196608	0.028799
0.209715	0.028088
0.235930	0.027322
0.262144	0.026696
0.288358	0.024723
0.314573	0.024328
0.340787	0.023721
0.367002	0.023328
0.393216	0.022651
0.419430	0.022310
0.471859	0.021454
0.524288	0.021174
0.576717	0.020769
0.629146	0.020362
0.681574	0.020615
0.734003	0.019983
0.786432	0.018910
0.838861	0.018092
0.943718	0.017282
1.048576	0.017359
1.153434	0.017265
1.258291	0.017595
1.363149	0.016924
1.468006	0.018086
1.572864	0.016841
1.677722	0.016995
1.887437	0.016776
2.097152	0.016401
2.306867	0.015836
2.516582	0.014999
2.726298	0.014123
2.936013	0.013873
3.145728	0.014428
3.355443	0.014852
3.774873	0.014728
4.194304	0.013994
4.613734	0.013565
5.033165	0.014017
5.452595	0.014467
5.872025	0.014411
6.291456	0.014811
6.710886	0.014785
7.549747	0.014812
8.388608	0.014298
9.227468	0.014619
