07/06/22	12:54 PM
Experiment Type:	Generic
Modulated Cross Correlation
Scattering angle:	45.0
Duration (s):	300
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	9.938100
Average Count rate  A (kHz):	193.2
Average Count rate  B (kHz):	161.4
Intercept:	1.0000
Cumulant 1st	2076.78
Cumulant 2nd	2081.66	0.00
Cumulant 3rd	2091.07	0.01

Lag time (s)         g2-1
1.600000E-6	0.379425
3.200000E-6	0.378694
4.800000E-6	0.373152
6.400000E-6	0.368251
8.000000E-6	0.363187
9.600000E-6	0.357979
1.120000E-5	0.353545
1.280000E-5	0.348239
1.440000E-5	0.343760
1.600000E-5	0.339137
1.760000E-5	0.334137
1.920000E-5	0.329704
2.080000E-5	0.325240
2.240000E-5	0.321115
2.400000E-5	0.317156
2.560000E-5	0.312664
2.720000E-5	0.308429
3.040000E-5	0.299860
3.360000E-5	0.292147
3.680000E-5	0.284326
4.000000E-5	0.276974
4.320000E-5	0.269593
4.640000E-5	0.262621
4.960000E-5	0.256038
5.280000E-5	0.249217
5.920000E-5	0.236281
6.560000E-5	0.224144
7.200000E-5	0.213038
7.840000E-5	0.202252
8.480000E-5	0.192033
9.120000E-5	0.182140
9.760000E-5	0.173169
0.000104	0.164648
0.000117	0.148879
0.000130	0.134816
0.000142	0.122269
0.000155	0.111144
0.000168	0.100818
0.000181	0.091832
0.000194	0.083765
0.000206	0.076755
0.000232	0.064256
0.000258	0.054298
0.000283	0.046412
0.000309	0.040060
0.000334	0.035113
0.000360	0.031099
0.000386	0.027382
0.000411	0.024552
0.000462	0.019725
0.000514	0.016523
0.000565	0.014148
0.000616	0.012331
0.000667	0.010965
0.000718	0.009931
0.000770	0.009140
0.000821	0.008913
0.000923	0.008194
0.001026	0.007450
0.001128	0.006852
0.001230	0.006729
0.001333	0.006753
0.001435	0.007085
0.001538	0.006866
0.001640	0.005835
0.001845	0.005268
0.002050	0.005663
0.002254	0.006596
0.002459	0.006596
0.002664	0.005838
0.002869	0.006136
0.003074	0.006236
0.003278	0.005936
0.003688	0.006151
0.004098	0.005994
0.004507	0.007232
0.004917	0.006568
0.005326	0.006437
0.005736	0.006180
0.006146	0.006887
0.006555	0.006901
0.007374	0.005783
0.008194	0.005403
0.009013	0.005617
0.009832	0.005931
0.010651	0.006724
0.011470	0.006444
0.012290	0.006246
0.013109	0.005997
0.014747	0.005942
0.016386	0.005725
0.018024	0.006384
0.019662	0.006275
0.021301	0.006275
0.022939	0.006294
0.024578	0.006673
0.026216	0.006206
0.029493	0.006132
0.032770	0.006478
0.036046	0.006273
0.039323	0.006463
0.042600	0.006250
0.045877	0.006639
0.049154	0.006537
0.052430	0.006338
0.058984	0.006578
0.065538	0.006060
0.072091	0.006466
0.078645	0.006421
0.085198	0.006519
0.091752	0.006095
0.098306	0.006214
0.104859	0.006353
0.117966	0.006468
0.131074	0.006301
0.144181	0.006260
0.157288	0.006501
0.170395	0.006181
0.183502	0.006416
0.196610	0.006217
0.209717	0.006338
0.235931	0.006317
0.262146	0.006457
0.288360	0.006324
0.314574	0.006335
0.340789	0.006362
0.367003	0.006441
0.393218	0.006514
0.419432	0.006545
0.471861	0.006470
0.524290	0.006517
0.576718	0.006746
0.629147	0.006529
0.681576	0.006616
0.734005	0.006667
0.786434	0.006644
0.838862	0.006602
0.943720	0.006664
1.048578	0.006719
1.153435	0.006810
1.258293	0.006794
1.363150	0.006979
1.468008	0.007064
1.572866	0.006999
1.677723	0.007064
1.887438	0.007197
2.097154	0.007328
2.306869	0.007392
2.516584	0.007498
2.726299	0.007615
2.936014	0.007731
3.145730	0.007775
3.355445	0.007883
3.774875	0.007990
4.194305	0.008220
4.613736	0.008481
5.033166	0.008729
5.452597	0.008870
5.872027	0.009150
6.291458	0.009372
6.710888	0.009588
7.549749	0.010070
8.388610	0.010486
9.227470	0.010909
10.066331	0.011414
10.905192	0.011852
11.744053	0.012200
12.582913	0.012605
13.421775	0.013047
15.099496	0.013966
16.777218	0.014801
18.454939	0.015705
20.132660	0.016597
21.810383	0.017581
23.488104	0.018575
25.165825	0.019638
26.843548	0.020799
30.198990	0.022739
33.554432	0.024873
36.909878	0.026900
40.265320	0.029015
43.620762	0.031271
46.976208	0.033390
50.331650	0.035406
53.687092	0.037083
60.397980	0.036433
67.108864	0.035892
73.819756	0.035510
80.530640	0.035073
87.241524	0.034877
93.952408	0.034824
100.663300	0.034742
107.374184	0.034717
120.795959	0.034881
134.217728	0.034469
147.639496	0.034469
161.061279	0.034585
174.483047	0.034611
187.904816	0.034625
201.326599	0.034643
214.748367	0.035365
241.591919	0.035204
268.435455	0.038612

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	156.116486	119.533539
0.052429	158.157349	137.004852
0.104858	181.064606	144.519806
0.157286	152.645111	123.825073
0.209715	145.568848	126.514435
0.262144	175.895691	137.825012
0.314573	145.378113	126.514435
0.367002	163.307190	137.386322
0.419430	184.631348	146.141052
0.471859	170.230865	143.165588
0.524288	171.527863	142.898560
0.576717	170.974731	129.222870
0.629146	159.759521	114.707947
0.681574	155.277252	144.805908
0.734003	151.176453	146.636963
0.786432	173.492432	136.127472
0.838861	174.140930	143.013000
0.891290	177.822113	140.075684
0.943718	174.388885	152.854919
0.996147	168.476105	133.552551
1.048576	171.833038	139.255524
1.101005	166.091919	131.797791
1.153434	178.642273	124.320984
1.205862	175.151825	135.002136
1.258291	166.015625	115.222931
1.310720	168.037415	135.116577
1.363149	180.740356	121.555328
1.415578	164.318085	121.669769
1.468006	171.108246	128.116608
1.520435	155.811310	139.827728
1.572864	156.097412	130.081177
1.625293	163.574219	134.906769
1.677722	161.037445	144.424438
1.730150	144.634247	129.776001
1.782579	155.658722	142.269135
1.835008	170.021057	133.686066
1.887437	168.666840	141.258240
1.939866	153.598785	129.489899
1.992294	161.457062	136.699677
2.044723	151.062012	133.380890
2.097152	146.827698	141.620636
2.149581	163.002014	146.865845
2.202010	160.942078	128.726959
2.254438	155.887604	134.086609
2.306867	160.064697	147.953033
2.359296	156.459808	126.533508
2.411725	166.358948	124.988556
2.464154	141.658783	123.806000
2.516582	150.737762	126.209259
2.569011	175.876617	130.023956
2.621440	156.612396	122.680664
2.673869	142.974854	129.356384
2.726298	155.105591	129.222870
2.778726	178.966522	147.380829
2.831155	169.734955	157.165527
2.883584	157.051086	130.348206
2.936013	164.451599	129.699707
2.988442	169.563293	151.691437
3.040870	152.168274	131.607056
3.093299	178.890228	132.961273
3.145728	161.457062	143.241882
3.198157	155.887604	128.936768
3.250586	154.457092	131.607056
3.303014	165.367126	155.773163
3.355443	182.266235	138.397217
3.407872	168.476105	145.359039
3.460301	145.530701	122.470856
3.512730	161.170959	140.819550
3.565158	164.413452	148.830414
3.617587	159.721375	140.590668
3.670016	166.282654	159.683228
3.722445	148.258209	139.427185
3.774874	150.661469	119.419098
3.827302	152.053833	134.983063
3.879731	171.604156	140.609741
3.932160	168.266296	135.478973
3.984589	157.451630	135.250092
4.037018	166.530609	131.416321
4.089446	153.083801	126.171112
4.141875	132.999420	107.059479
4.194304	160.827637	123.958588
4.246733	145.759583	131.530762
4.299162	166.740417	120.372772
4.351590	164.375305	137.691498
4.404019	158.252716	128.917694
4.456448	164.623260	130.176544
4.508877	151.824951	120.811462
4.561306	157.184601	117.282867
4.613734	161.952972	127.410889
4.666163	159.225464	131.187439
4.718592	146.293640	128.898621
4.771021	155.239105	131.626129
4.823450	143.070221	140.304565
4.875878	143.909454	126.762390
4.928307	150.814056	128.917694
4.980736	164.470673	131.473541
5.033165	157.127380	121.822357
5.085594	161.781311	131.626129
5.138022	162.200928	133.075714
5.190451	183.677673	148.792267
5.242880	161.514282	117.683411
5.295309	148.239136	117.664337
5.347738	167.922974	135.650635
5.400166	171.203613	134.277344
5.452595	163.078308	133.209229
5.505024	161.781311	128.746033
5.557453	152.606964	137.042999
5.609882	170.440674	129.623413
5.662310	150.680542	127.696991
5.714739	143.661499	126.361847
5.767168	171.623230	124.511719
5.819597	159.511566	134.372711
5.872026	159.339905	115.127563
5.924454	166.854858	127.754211
5.976883	170.688629	133.628845
6.029312	168.609619	123.977661
6.081741	151.195526	124.950409
6.134170	166.854858	133.285522
6.186598	165.882111	146.369934
6.239027	160.694122	139.961243
6.291456	153.713226	126.609802
6.343885	166.664124	128.631592
6.396314	161.037445	131.301880
6.448742	161.132812	124.568939
6.501171	160.751343	130.729675
6.553600	150.127411	130.825043
6.606029	154.170990	134.391785
6.658458	155.105591	130.043030
6.710886	134.677887	125.904083
6.763315	164.813995	130.138397
6.815744	157.432556	117.893219
6.868173	154.495239	121.612549
6.920602	145.320892	124.702454
6.973030	166.721344	129.661560
7.025459	157.947540	142.345428
7.077888	152.530670	131.855011
7.130317	151.634216	130.176544
7.182746	153.636932	138.740540
7.235174	160.789490	123.806000
7.287603	178.642273	149.765015
7.340032	139.198303	121.440887
7.392461	179.042816	138.130188
7.444890	174.922943	140.953064
7.497318	161.895752	143.337250
7.549747	163.936615	140.399933
7.602176	177.631378	128.211975
7.654605	161.972046	139.122009
7.707034	158.672333	139.102936
7.759462	160.560608	130.271912
7.811891	159.358978	126.380920
7.864320	170.364380	130.405426
7.916749	171.890259	147.361755
7.969178	173.549652	136.146545
8.021606	163.478851	136.699677
8.074035	163.745880	120.429993
8.126464	157.661438	127.334595
8.178893	156.688690	140.151978
8.231322	138.034821	122.795105
8.283750	140.247345	128.841400
8.336179	156.059265	128.822327
8.388608	156.135559	130.825043
8.441037	160.751343	131.397247
8.493466	157.794952	132.179260
8.545894	173.168182	132.808685
8.598323	147.323608	137.634277
8.650752	168.838501	124.721527
8.703181	155.410767	125.522614
8.755610	158.424377	152.397156
8.808038	155.830383	133.113861
8.860467	141.410828	124.778748
8.912896	169.143677	141.029358
8.965325	143.585205	121.574402
9.017754	145.587921	128.841400
9.070182	170.192719	122.470856
9.122611	170.688629	139.904022
9.175040	154.685974	126.838684
9.227469	147.132874	132.865906
9.279898	149.040222	137.481689
9.332326	156.574249	125.694275
9.384755	166.130066	129.508972
9.437184	158.958435	135.669708
9.489613	153.083801	125.236511
9.542042	161.018372	136.833191
9.594470	142.993927	121.688843
9.646899	146.331787	130.329132
9.699328	155.582428	129.489899
9.751757	159.130096	120.124817
9.804186	168.094635	127.944946
9.856614	143.947601	145.225525
9.909043	154.266357	125.408173
9.961472	159.759521	129.470825
10.013901	172.023773	126.228333
10.066330	153.865814	125.408173
10.118758	166.397095	133.991241
10.171187	150.928497	123.405457
10.223616	161.857605	127.830505
10.276045	170.230865	133.037567
10.328474	164.527893	122.375488
10.380902	189.857483	136.585236
10.433331	165.328979	131.492615
10.485760	181.312561	128.383636
10.538189	181.903839	139.026642
10.590618	150.680542	129.356384
10.643046	161.476135	131.778717
10.695475	171.470642	146.598816
10.747904	155.010223	127.487183
10.800333	165.805817	129.814148
10.852762	160.388947	134.849548
10.905190	166.282654	126.113892
10.957619	149.593353	133.705139
11.010048	158.443451	135.726929
11.062477	159.416199	130.004883
11.114906	147.247314	133.457184
11.167334	163.841248	137.653351
11.219763	156.726837	133.666992
11.272192	163.230896	144.844055
11.324621	153.465271	146.656036
11.377050	162.925720	123.043060
11.429478	163.078308	129.222870
11.481907	172.996521	155.773163
11.534336	156.993866	147.113800
11.586765	156.040192	122.718811
11.639194	159.797668	136.547089
11.691622	141.773224	126.762390
11.744051	168.743134	138.759613
11.796480	167.007446	135.402679
11.848909	162.296295	140.113831
11.901338	146.141052	133.609772
11.953766	169.563293	132.846832
12.006195	145.473480	129.718781
12.058624	171.127319	139.598846
12.111053	164.699554	132.274628
12.163482	147.476196	134.105682
12.215910	182.018280	147.094727
12.268339	152.359009	118.637085
12.320768	176.696777	133.762360
12.373197	169.754028	132.026672
12.425626	175.857544	135.784149
12.478054	156.593323	130.119324
12.530483	158.576965	125.846863
12.582912	182.418823	124.893188
12.635341	164.318085	138.607025
12.687770	139.675140	133.838654
12.740198	163.135529	130.672455
12.792627	169.525146	132.446289
12.845056	147.151947	131.015778
12.897485	151.481628	140.132904
12.949914	164.890289	135.498047
13.002342	149.822235	135.173798
13.054771	154.018402	138.511658
13.107200	148.544312	131.454468
13.159629	153.350830	123.329163
13.212058	159.015656	128.211975
13.264486	141.258240	136.184692
13.316915	150.489807	125.827789
13.369344	156.688690	129.909515
13.421773	150.604248	120.582581
13.474202	174.388885	136.032104
13.526630	147.171021	143.775940
13.579059	158.977509	137.271881
13.631488	159.778595	134.105682
13.683917	171.298981	150.375366
13.736346	152.854919	122.375488
13.788774	155.448914	121.402740
13.841203	157.947540	134.353638
13.893632	155.353546	137.748718
13.946061	152.893066	128.288269
13.998490	168.609619	131.149292
14.050918	157.852173	148.601532
14.103347	148.906708	130.004883
14.155776	149.154663	116.157532
14.208205	147.190094	128.459930
14.260634	141.067505	124.378204
14.313062	160.694122	121.250153
14.365491	155.811310	130.176544
14.417920	158.405304	137.119293
14.470349	151.004791	128.574371
14.522778	156.250000	135.250092
14.575206	159.854889	125.980377
14.627635	159.149170	121.059418
14.680064	152.072906	133.762360
14.732493	160.541534	115.165710
14.784922	152.435303	132.389069
14.837350	167.407990	136.489868
14.889779	174.045563	141.143799
14.942208	149.726868	117.797852
14.994637	156.230927	142.211914
15.047066	178.947449	136.222839
15.099494	147.209167	130.977631
15.151923	173.549652	130.214691
15.204352	148.696899	142.574310
15.256781	145.282745	128.021240
15.309210	152.454376	140.743256
15.361638	160.675049	141.658783
15.414067	155.735016	144.004822
15.466496	155.868530	135.250092
15.518925	148.868561	125.541687
15.571354	174.388885	138.282776
15.623782	170.230865	137.500763
15.676211	171.585083	153.274536
15.728640	163.726807	132.045746
15.781069	156.593323	138.893127
15.833498	166.187286	134.334564
15.885926	166.339874	124.492645
15.938355	165.843964	140.151978
15.990784	152.683258	128.479004
16.043213	170.650482	127.849579
16.095642	161.018372	129.470825
16.148070	161.991119	139.503479
16.200499	162.734985	121.917725
16.252928	155.143738	135.059357
16.305357	165.843964	134.830475
16.357786	167.655945	154.991150
16.410214	154.857635	130.424500
16.462643	149.497986	134.696960
16.515072	156.440735	136.241913
16.567501	163.555145	121.154785
16.619930	149.974823	136.528015
16.672358	143.623352	129.909515
16.724787	147.247314	123.500824
16.777216	161.457062	134.067535
16.829645	156.288147	148.334503
16.882074	157.947540	123.500824
16.934502	151.386261	130.157471
16.986931	157.279968	141.429901
17.039360	139.560699	126.914978
17.091789	147.361755	124.206543
17.144218	151.596069	130.500793
17.196646	166.988373	134.429932
17.249075	153.617859	120.296478
17.301504	153.350830	131.359100
17.353933	156.764984	127.716064
17.406362	146.656036	137.138367
17.458790	166.053772	133.819580
17.511219	151.863098	130.653381
17.563648	141.963959	127.773285
17.616077	169.582367	139.446259
17.668506	153.102875	138.854980
17.720934	151.805878	118.179321
17.773363	162.620544	124.607086
17.825792	172.843933	150.241852
17.878221	170.383453	123.481750
17.930650	145.053864	130.233765
17.983078	179.328918	145.378113
18.035507	146.293640	138.950348
18.087936	161.933899	144.271851
18.140365	168.533325	143.699646
18.192794	147.438049	134.525299
18.245222	157.127380	139.045715
18.297651	163.555145	139.465332
18.350080	152.339935	125.102997
18.402509	161.018372	111.198425
18.454938	155.391693	124.721527
18.507366	145.835876	124.473572
18.559795	154.972076	123.596191
18.612224	164.108276	133.361816
18.664653	152.187347	134.620667
18.717082	167.942047	136.413574
18.769510	153.236389	131.683350
18.821939	156.021118	133.132935
18.874368	144.042969	117.912292
18.926797	144.958496	127.506256
18.979226	170.497894	141.162872
19.031654	163.707733	130.977631
19.084083	166.072845	128.269196
19.136512	165.100098	137.157440
19.188941	144.729614	125.579834
19.241370	175.971985	137.844086
19.293798	151.309967	147.800446
19.346227	165.519714	145.111084
19.398656	166.797638	137.443542
19.451085	152.587891	121.383667
19.503514	141.582489	119.876862
19.555942	151.786804	135.498047
19.608371	165.462494	128.250122
19.660800	168.914795	128.383636
19.713229	207.366943	166.740417
19.765658	155.429840	116.825104
19.818086	175.361633	138.034821
19.870515	155.143738	127.506256
19.922944	157.260895	148.448944
19.975373	171.699524	126.438141
20.027802	157.928467	149.459839
20.080230	165.252686	125.179291
20.132659	177.879333	136.184692
20.185088	165.596008	127.449036
20.237517	154.914856	135.517120
20.289946	158.119202	126.857758
20.342374	156.288147	121.650696
20.394803	149.116516	134.963989
20.447232	154.380798	118.579865
20.499661	144.424438	123.462677
20.552090	160.331726	126.342773
20.604518	167.369843	135.574341
20.656947	148.544312	133.075714
20.709376	158.710480	122.509003
20.761805	172.576904	138.683319
20.814234	149.021149	127.506256
20.866662	153.579712	127.449036
20.919091	158.576965	133.857727
20.971520	173.816681	128.192902
21.023949	166.454315	130.748749
21.076378	169.315338	129.833221
21.128806	182.533264	145.416260
21.181235	145.130157	134.620667
21.233664	173.454285	126.705170
21.286093	174.694061	132.236481
21.338522	176.544189	138.797760
21.390950	160.179138	146.274567
21.443379	153.541565	128.345490
21.495808	149.192810	126.228333
21.548237	158.042908	131.225586
21.600666	172.080994	130.901337
21.653094	157.203674	131.282806
21.705523	149.383545	139.293671
21.757952	140.361786	130.405426
21.810381	149.402618	117.359161
21.862810	154.075623	132.656097
21.915238	149.707794	128.612518
21.967667	176.181793	146.160126
22.020096	181.102753	135.211945
22.072525	170.288086	134.925842
22.124954	166.492462	139.884949
22.177382	179.672241	128.993988
22.229811	148.200989	127.811432
22.282240	154.399872	121.707916
22.334669	178.070068	147.132874
22.387098	144.844055	132.217407
22.439526	145.778656	137.348175
22.491955	148.353577	137.557983
22.544384	159.568787	135.669708
22.596813	155.963898	127.716064
22.649242	155.887604	134.696960
22.701670	157.108307	130.748749
22.754099	169.410706	144.329071
22.806528	168.495178	131.855011
22.858957	152.778625	114.593506
22.911386	174.636841	138.645172
22.963814	168.857574	121.345520
23.016243	143.413544	128.803253
23.068672	151.119232	131.530762
23.121101	159.606934	127.887726
23.173530	149.745941	115.013123
23.225958	149.002075	124.073029
23.278387	172.080994	131.664276
23.330816	167.217255	129.871368
23.383245	180.778503	134.162903
23.435674	152.130127	130.729675
23.488102	165.290833	136.756897
23.540531	173.110962	144.405365
23.592960	162.124634	143.451691
23.645389	160.388947	133.590698
23.697818	153.408051	124.130249
23.750246	150.012970	126.380920
23.802675	141.410828	131.149292
23.855104	149.040222	131.568909
23.907533	148.773193	128.574371
23.959962	140.972137	119.972229
24.012390	163.249969	132.045746
24.064819	137.138367	123.882294
24.117248	165.748596	125.045776
24.169677	151.252747	135.116577
24.222106	161.190033	124.340057
24.274534	170.974731	132.446289
24.326963	151.576996	125.541687
24.379392	144.424438	132.656097
24.431821	161.018372	121.936798
24.484250	156.993866	121.479034
24.536678	145.721436	136.928558
24.589107	152.130127	126.285553
24.641536	167.427063	126.991272
24.693965	153.121948	123.653412
24.746394	135.974884	132.427216
24.798822	152.301788	121.593475
24.851251	157.566071	125.217438
24.903680	169.620514	144.634247
24.956109	166.168213	125.656128
25.008538	160.503387	125.637054
25.060966	134.983063	124.454498
25.113395	165.252686	151.939392
25.165824	174.007416	137.710571
25.218253	169.696808	133.628845
25.270682	161.705017	146.522522
25.323110	156.822205	125.637054
25.375539	156.421661	123.767853
25.427968	154.418945	123.672485
25.480397	143.547058	123.729706
25.532826	156.917572	135.631561
25.585254	172.824860	132.503510
25.637683	157.756805	116.024017
25.690112	169.086456	119.647980
25.742541	174.503326	128.192902
25.794970	160.617828	120.925903
25.847398	165.042877	136.718750
25.899827	159.778595	131.015778
25.952256	157.947540	124.053955
26.004685	151.062012	128.917694
26.057114	187.778473	128.688812
26.109542	147.686005	132.369995
26.161971	140.705109	121.974945
26.214400	154.037476	126.914978
26.266829	151.844025	132.255554
26.319258	158.500671	130.519867
26.371686	163.345337	147.495270
26.424115	162.448883	124.244690
26.476544	144.996643	121.269226
26.528973	150.108337	134.086609
26.581402	157.375336	129.604340
26.633830	170.993805	123.310089
26.686259	155.715942	127.277374
26.738688	161.094666	122.108459
26.791117	163.936615	138.854980
26.843546	147.247314	129.985809
26.895974	188.484192	156.002045
26.948403	164.508820	130.481720
27.000832	160.999298	130.920410
27.053261	156.040192	129.013062
27.105690	164.299011	131.149292
27.158118	163.249969	123.901367
27.210547	167.102814	127.964020
27.262976	171.794891	152.492523
27.315405	159.244537	131.912231
27.367834	154.514313	145.740509
27.420262	170.269012	143.775940
27.472691	139.026642	127.849579
27.525120	144.290924	113.315582
27.577549	164.794922	129.108429
27.629978	164.566040	133.113861
27.682406	166.149139	133.495331
27.734835	168.514252	115.718842
27.787264	167.808533	136.680603
27.839693	151.653290	129.737854
27.892122	147.972107	131.664276
27.944550	150.966644	128.269196
27.996979	170.040131	134.582520
28.049408	163.326263	134.830475
28.101837	174.560547	121.631622
28.154266	148.010254	115.375519
28.206694	156.135559	130.844116
28.259123	150.585175	133.419037
28.311552	164.813995	128.669739
28.363981	183.105469	153.865814
