07/06/22	12:41 PM
Experiment Type:	Generic
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	450
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.2
Laser intensity (mW):	8.763600
Average Count rate  A (kHz):	253.9
Average Count rate  B (kHz):	248.9
Intercept:	1.0000
Cumulant 1st	7082.51
Cumulant 2nd	7100.12	0.12
Cumulant 3rd	9037.55	0.58

Lag time (s)         g2-1
1.250000E-8	1.063136
2.500000E-8	1.068883
3.750000E-8	1.066239
5.000000E-8	1.067599
6.250000E-8	1.066626
7.500000E-8	1.061376
8.750000E-8	1.066640
1.000000E-7	1.064134
1.125000E-7	1.067211
1.250000E-7	1.066955
1.375000E-7	1.061666
1.500000E-7	1.061053
1.625000E-7	1.062231
1.750000E-7	1.062231
1.875000E-7	1.062813
2.000000E-7	1.061067
2.125000E-7	1.060959
2.375000E-7	1.060462
2.625000E-7	1.061520
2.875000E-7	1.061119
3.125000E-7	1.058137
3.375000E-7	1.059971
3.625000E-7	1.059992
3.875000E-7	1.060500
4.125000E-7	1.056877
4.625000E-7	1.055220
5.125000E-7	1.055993
5.625000E-7	1.055583
6.125000E-7	1.051542
6.625000E-7	1.048794
7.125000E-7	1.049744
7.625000E-7	1.047953
8.125000E-7	1.045943
9.125000E-7	1.045151
1.012500E-6	1.042028
1.112500E-6	1.040534
1.212500E-6	1.036454
1.312500E-6	1.034581
1.412500E-6	1.031433
1.512500E-6	1.028876
1.612500E-6	1.027497
1.812500E-6	1.022516
2.012500E-6	1.017937
2.212500E-6	1.011813
2.412500E-6	1.008703
2.612500E-6	1.004175
2.812500E-6	0.999462
3.012500E-6	0.993707
3.212500E-6	0.989805
3.612500E-6	0.981045
4.012500E-6	0.972022
4.412500E-6	0.963020
4.812500E-6	0.953997
5.212500E-6	0.945413
5.612500E-6	0.936614
6.012500E-6	0.929247
6.412500E-6	0.921055
7.212500E-6	0.904427
8.012500E-6	0.888484
8.812500E-6	0.873003
9.612500E-6	0.858183
1.041250E-5	0.843630
1.121250E-5	0.829104
1.201250E-5	0.815419
1.281250E-5	0.801594
1.441250E-5	0.775419
1.601250E-5	0.750686
1.761250E-5	0.727029
1.921250E-5	0.704509
2.081250E-5	0.683017
2.241250E-5	0.662428
2.401250E-5	0.642846
2.561250E-5	0.624731
2.881250E-5	0.589972
3.201250E-5	0.558901
3.521250E-5	0.530003
3.841250E-5	0.503957
4.161250E-5	0.480129
4.481250E-5	0.458530
4.801250E-5	0.438696
5.121250E-5	0.420855
5.761250E-5	0.388768
6.401250E-5	0.361804
7.041250E-5	0.338736
7.681250E-5	0.319273
8.321250E-5	0.302684
8.961250E-5	0.288166
9.601250E-5	0.275746
0.000102	0.265135
0.000115	0.247750
0.000128	0.234371
0.000141	0.223817
0.000154	0.215533
0.000166	0.209127
0.000179	0.203761
0.000192	0.199404
0.000205	0.196018
0.000230	0.190397
0.000256	0.186408
0.000282	0.183327
0.000307	0.181068
0.000333	0.178992
0.000358	0.177396
0.000384	0.176090
0.000410	0.174869
0.000461	0.172835
0.000512	0.171050
0.000563	0.169382
0.000614	0.167750
0.000666	0.167040
0.000717	0.165770
0.000768	0.164632
0.000819	0.163445
0.000922	0.161611
0.001024	0.160277
0.001126	0.159120
0.001229	0.158242
0.001331	0.156944
0.001434	0.155639
0.001536	0.154853
0.001638	0.154190
0.001843	0.152760
0.002048	0.150898
0.002253	0.149615
0.002458	0.148371
0.002662	0.147739
0.002867	0.146637
0.003072	0.145737
0.003277	0.144472
0.003686	0.142989
0.004096	0.141415
0.004506	0.140127
0.004915	0.138915
0.005325	0.137569
0.005734	0.136497
0.006144	0.135831
0.006554	0.134617
0.007373	0.133459
0.008192	0.131884
0.009011	0.130650
0.009830	0.129415
0.010650	0.128597
0.011469	0.127572
0.012288	0.126519
0.013107	0.125649
0.014746	0.123973
0.016384	0.122905
0.018022	0.121501
0.019661	0.120304
0.021299	0.119177
0.022938	0.117573
0.024576	0.116719
0.026214	0.115973
0.029491	0.114296
0.032768	0.112656
0.036045	0.111613
0.039322	0.109694
0.042598	0.108154
0.045875	0.106463
0.049152	0.105154
0.052429	0.103947
0.058982	0.101773
0.065536	0.099750
0.072090	0.097458
0.078643	0.095485
0.085197	0.093668
0.091750	0.092088
0.098304	0.090664
0.104858	0.089230
0.117965	0.086432
0.131072	0.084490
0.144179	0.082598
0.157286	0.081325
0.170394	0.079290
0.183501	0.078110
0.196608	0.076477
0.209715	0.075051
0.235930	0.073166
0.262144	0.071575
0.288358	0.070168
0.314573	0.069253
0.340787	0.068609
0.367002	0.068638
0.393216	0.068931
0.419430	0.068162
0.471859	0.066428
0.524288	0.066091
0.576717	0.066034
0.629146	0.065357
0.681574	0.064573
0.734003	0.064003
0.786432	0.063394
0.838861	0.064192
0.943718	0.064769
1.048576	0.063798
1.153434	0.060938
1.258291	0.058000
1.363149	0.057602
1.468006	0.058137
1.572864	0.058566
1.677722	0.057961
1.887437	0.057681
2.097152	0.055617
2.306867	0.055209
2.516582	0.054887
2.726298	0.055984
2.936013	0.053174
3.145728	0.052599
3.355443	0.052394
