07/07/22	2:14 PM
Modulated Cross Correlation
Scattering angle:	20.0
Duration (s):	1200
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	2.352715
Average Count rate  A (kHz):	69.2
Average Count rate  B (kHz):	59.0
Intercept:	0.3726
Cumulant 1st	NaN
Cumulant 2nd	NaN	NaN
Cumulant 3rd	NaN	NaN

Lag time (s)         g2-1
1.600000E-6	0.375554
3.200000E-6	0.375551
4.800000E-6	0.374158
6.400000E-6	0.373458
8.000000E-6	0.371903
9.600000E-6	0.370999
1.120000E-5	0.370621
1.280000E-5	0.369479
1.440000E-5	0.367826
1.600000E-5	0.366402
1.760000E-5	0.366767
1.920000E-5	0.364851
2.080000E-5	0.363996
2.240000E-5	0.362833
2.400000E-5	0.361825
2.560000E-5	0.361752
2.720000E-5	0.359456
3.040000E-5	0.356890
3.360000E-5	0.355017
3.680000E-5	0.353481
4.000000E-5	0.350738
4.320000E-5	0.348836
4.640000E-5	0.346733
4.960000E-5	0.345338
5.280000E-5	0.343013
5.920000E-5	0.338995
6.560000E-5	0.334793
7.200000E-5	0.331264
7.840000E-5	0.327340
8.480000E-5	0.323567
9.120000E-5	0.319555
9.760000E-5	0.316030
0.000104	0.312497
0.000117	0.305158
0.000130	0.298266
0.000142	0.291557
0.000155	0.285284
0.000168	0.278715
0.000181	0.272217
0.000194	0.266087
0.000206	0.259885
0.000232	0.248419
0.000258	0.237189
0.000283	0.226727
0.000309	0.216520
0.000334	0.206958
0.000360	0.197674
0.000386	0.189124
0.000411	0.180843
0.000462	0.165329
0.000514	0.151286
0.000565	0.138447
0.000616	0.126819
0.000667	0.116250
0.000718	0.106611
0.000770	0.097801
0.000821	0.089929
0.000923	0.076055
0.001026	0.064641
0.001128	0.054879
0.001230	0.047010
0.001333	0.040386
0.001435	0.034872
0.001538	0.030219
0.001640	0.026452
0.001845	0.019847
0.002050	0.015375
0.002254	0.012155
0.002459	0.009618
0.002664	0.007751
0.002869	0.006169
0.003074	0.004837
0.003278	0.003689
0.003688	0.001877
0.004098	0.001335
0.004507	0.001025
0.004917	0.001228
0.005326	0.001380
0.005736	0.001373
0.006146	0.001344
0.006555	0.001770
0.007374	0.001586
0.008194	0.000921
0.009013	0.000375
0.009832	-8.663671E-5
0.010651	0.000292
0.011470	0.000289
0.012290	0.000182
0.013109	-0.000589
0.014747	0.000153
0.016386	0.000116
0.018024	-0.000543
0.019662	0.000687
0.021301	-0.000243
0.022939	-0.000815
0.024578	-0.000977
0.026216	-0.000431
0.029493	0.000221
0.032770	-0.000809
0.036046	-0.000146
0.039323	0.000534
0.042600	0.001100
0.045877	5.543210E-5
0.049154	-7.600903E-5
0.052430	3.780646E-6
0.058984	0.000155
0.065538	0.000757
0.072091	-9.238330E-5
0.078645	-0.000155
0.085198	-0.000225
0.091752	3.609190E-5
0.098306	0.000333
0.104859	0.000152
0.117966	-0.000224
0.131074	0.000373
0.144181	-0.000127
0.157288	0.000264
0.170395	-0.000274
0.183502	-1.976653E-5
0.196610	8.712638E-5
0.209717	0.000345
0.235931	6.238699E-5
0.262146	2.875316E-5
0.288360	-0.000102
0.314574	-0.000360
0.340789	4.182892E-5
0.367003	-0.000189
0.393218	-9.277085E-5
0.419432	0.000149
0.471861	-0.000107
0.524290	0.000103
0.576718	0.000284
0.629147	-1.102441E-5
0.681576	0.000308
0.734005	2.736229E-5
0.786434	3.104382E-5
0.838862	-1.570521E-5
0.943720	0.000146
1.048578	0.000163
1.153435	1.700621E-5
1.258293	8.119760E-5
1.363150	0.000153
1.468008	0.000285
1.572866	-1.918666E-5
1.677723	-4.347906E-5
1.887438	0.000178
2.097154	0.000105
2.306869	0.000104
2.516584	2.294759E-5
2.726299	3.048145E-5
2.936014	6.856927E-6
3.145730	-1.608296E-5
3.355445	-5.248741E-5
3.774875	-2.709367E-5
4.194305	-5.631775E-5
4.613736	-5.452729E-5
5.033166	-5.359602E-5
5.452597	-6.159163E-5
5.872027	-9.886763E-5
6.291458	-7.675934E-5
6.710888	-9.171673E-5
7.549749	-0.000148
8.388610	-0.000152
9.227470	-0.000157
10.066331	-0.000171
10.905192	-0.000266
11.744053	-0.000320
12.582913	-0.000285
13.421775	-0.000261
15.099496	-0.000371
16.777218	-0.000386
18.454939	-0.000393
20.132660	-0.000476
21.810383	-0.000560
23.488104	-0.000660
25.165825	-0.000696
26.843548	-0.000790
30.198990	-0.000821
33.554432	-0.000882
36.909878	-0.000943
40.265320	-0.000964
43.620762	-0.000932
46.976208	-0.000941
50.331650	-0.000899
53.687092	-0.000875
60.397980	-0.000914
67.108864	-0.000949
73.819756	-0.000879
80.530640	-0.000938
87.241524	-0.000943
93.952408	-0.001027
100.663300	-0.001023
107.374184	-0.000989
120.795959	-0.000732
134.217728	-0.000611
147.639496	-0.000533
161.061279	-0.000634
174.483047	-0.000399
187.904816	-0.000432
201.326599	0.000130
214.748367	0.000454
241.591919	0.000667
268.435455	0.000956
295.278992	0.001420
322.122559	0.002023
348.966095	0.002202
375.809631	0.001632
402.653198	0.001604
429.496735	0.002226
483.183807	0.003272
536.870911	0.004304
590.557983	0.006418
644.245117	0.006909
697.932190	0.006887
751.619263	0.008092
805.306396	0.009360
858.993469	0.009495
966.367615	0.012955
1073.741821	0.001837

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	77.991486	69.694519
0.052429	72.345734	57.849884
0.104858	82.416534	77.018738
0.157286	70.114136	81.558228
0.209715	55.828094	48.160553
0.262144	78.029633	67.234039
0.314573	68.016052	78.163147
0.367002	70.629120	76.675415
0.419430	51.898956	69.255829
0.471859	76.141357	64.487457
0.524288	73.776245	67.119598
0.576717	68.168640	61.779022
0.629146	66.375732	64.716339
0.681574	48.389435	47.893524
0.734003	75.931549	58.441162
0.786432	100.440979	71.811676
0.838861	66.452026	59.185028
0.891290	81.672668	55.408478
0.943718	88.920593	64.945221
0.996147	74.214935	54.302216
1.048576	70.304871	54.035187
1.101005	70.457458	52.661896
1.153434	62.999725	57.277679
1.205862	62.885284	49.858093
1.258291	69.656372	49.514771
1.310720	51.403046	57.067871
1.363149	83.255768	51.403046
1.415578	66.585541	54.073334
1.468006	72.803497	61.473846
1.520435	72.879791	63.095093
1.572864	80.814362	51.441193
1.625293	72.097778	62.770844
1.677722	72.078705	62.236786
1.730150	64.430237	61.473846
1.782579	73.032379	55.885315
1.835008	69.637299	51.269531
1.887437	81.806183	72.193146
1.939866	66.432953	46.691895
1.992294	78.182220	72.650909
2.044723	112.438202	79.746246
2.097152	55.027008	58.479309
2.149581	72.059631	69.179535
2.202010	60.997009	50.163269
2.254438	74.195862	54.378510
2.306867	75.569153	68.359375
2.359296	73.509216	60.195923
2.411725	57.678223	62.847137
2.464154	64.811707	70.972443
2.516582	72.422028	56.686401
2.569011	94.299316	58.059692
2.621440	66.223145	47.912598
2.673869	79.231262	82.588196
2.726298	66.623688	64.849854
2.778726	91.953278	67.749023
2.831155	62.026978	58.994293
2.883584	72.498322	77.781677
2.936013	74.882507	62.103271
