07/07/22	4:59 PM
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	8.763600
Average Count rate  A (kHz):	179.5
Average Count rate  B (kHz):	175.9
Intercept:	0.9964
Cumulant 1st	5.58
Cumulant 2nd	5.49	1.19
Cumulant 3rd	5.16	2.31

Lag time (s)         g2-1
1.250000E-8	0.994661
2.500000E-8	0.999595
3.750000E-8	0.998641
5.000000E-8	0.993468
6.250000E-8	0.994681
7.500000E-8	0.993786
8.750000E-8	0.993676
1.000000E-7	0.994003
1.125000E-7	0.990434
1.250000E-7	0.991459
1.375000E-7	0.993111
1.500000E-7	0.987552
1.625000E-7	0.987702
1.750000E-7	0.990938
1.875000E-7	0.987893
2.000000E-7	0.987541
2.125000E-7	0.988442
2.375000E-7	0.988298
2.625000E-7	0.985160
2.875000E-7	0.986097
3.125000E-7	0.987094
3.375000E-7	0.980996
3.625000E-7	0.985888
3.875000E-7	0.983138
4.125000E-7	0.983519
4.625000E-7	0.978315
5.125000E-7	0.977417
5.625000E-7	0.977981
6.125000E-7	0.972564
6.625000E-7	0.969852
7.125000E-7	0.969163
7.625000E-7	0.967849
8.125000E-7	0.965421
9.125000E-7	0.962444
1.012500E-6	0.959217
1.112500E-6	0.954682
1.212500E-6	0.952754
1.312500E-6	0.949431
1.412500E-6	0.945864
1.512500E-6	0.940460
1.612500E-6	0.937588
1.812500E-6	0.931661
2.012500E-6	0.924929
2.212500E-6	0.917304
2.412500E-6	0.911040
2.612500E-6	0.904527
2.812500E-6	0.899092
3.012500E-6	0.891549
3.212500E-6	0.884664
3.612500E-6	0.872268
4.012500E-6	0.859652
4.412500E-6	0.846173
4.812500E-6	0.834749
5.212500E-6	0.822155
5.612500E-6	0.809945
6.012500E-6	0.798510
6.412500E-6	0.787359
7.212500E-6	0.765048
8.012500E-6	0.743216
8.812500E-6	0.722331
9.612500E-6	0.701360
1.041250E-5	0.681470
1.121250E-5	0.662641
1.201250E-5	0.643578
1.281250E-5	0.625488
1.441250E-5	0.590358
1.601250E-5	0.557861
1.761250E-5	0.526800
1.921250E-5	0.498310
2.081250E-5	0.470646
2.241250E-5	0.444840
2.401250E-5	0.420645
2.561250E-5	0.398321
2.881250E-5	0.356648
3.201250E-5	0.319539
3.521250E-5	0.286674
3.841250E-5	0.257592
4.161250E-5	0.231326
4.481250E-5	0.208435
4.801250E-5	0.187627
5.121250E-5	0.169886
5.761250E-5	0.138939
6.401250E-5	0.114104
7.041250E-5	0.094348
7.681250E-5	0.078732
8.321250E-5	0.065872
8.961250E-5	0.055623
9.601250E-5	0.047279
0.000102	0.041101
0.000115	0.031038
0.000128	0.024316
0.000141	0.019663
0.000154	0.016552
0.000166	0.014394
0.000179	0.012979
0.000192	0.011861
0.000205	0.011223
0.000230	0.010181
0.000256	0.009400
0.000282	0.008737
0.000307	0.008168
0.000333	0.007937
0.000358	0.007619
0.000384	0.007635
0.000410	0.007667
0.000461	0.007548
0.000512	0.007401
0.000563	0.007085
0.000614	0.007124
0.000666	0.006973
0.000717	0.007021
0.000768	0.007061
0.000819	0.007158
0.000922	0.007290
0.001024	0.007478
0.001126	0.007156
0.001229	0.007369
0.001331	0.007424
0.001434	0.007492
0.001536	0.007270
0.001638	0.007063
0.001843	0.007292
0.002048	0.007185
0.002253	0.007487
0.002458	0.007498
0.002662	0.007378
0.002867	0.007421
0.003072	0.007314
0.003277	0.007308
0.003686	0.007305
0.004096	0.007197
0.004506	0.007189
0.004915	0.007296
0.005325	0.007273
0.005734	0.007333
0.006144	0.007475
0.006554	0.007363
0.007373	0.007369
0.008192	0.007243
0.009011	0.007453
0.009830	0.007475
0.010650	0.007318
0.011469	0.007500
0.012288	0.007384
0.013107	0.007401
0.014746	0.007355
0.016384	0.007374
0.018022	0.007356
0.019661	0.007404
0.021299	0.007334
0.022938	0.007394
0.024576	0.007347
0.026214	0.007399
0.029491	0.007399
0.032768	0.007332
0.036045	0.007365
0.039322	0.007456
0.042598	0.007358
0.045875	0.007359
0.049152	0.007339
0.052429	0.007331
0.058982	0.007368
0.065536	0.007353
0.072090	0.007354
0.078643	0.007402
0.085197	0.007344
0.091750	0.007393
0.098304	0.007394
0.104858	0.007381
0.117965	0.007341
0.131072	0.007344
0.144179	0.007331
0.157286	0.007394
0.170394	0.007343
0.183501	0.007375
0.196608	0.007364
0.209715	0.007378
0.235930	0.007358
0.262144	0.007378
0.288358	0.007374
0.314573	0.007409
0.340787	0.007375
0.367002	0.007376
0.393216	0.007400
0.419430	0.007407
0.471859	0.007400
0.524288	0.007410
0.576717	0.007422
0.629146	0.007429
0.681574	0.007435
0.734003	0.007455
0.786432	0.007444
0.838861	0.007450
0.943718	0.007472
1.048576	0.007483
1.153434	0.007501
1.258291	0.007511
1.363149	0.007513
1.468006	0.007538
1.572864	0.007558
1.677722	0.007572
1.887437	0.007599
2.097152	0.007624
2.306867	0.007635
2.516582	0.007666
2.726298	0.007703
2.936013	0.007722
3.145728	0.007744
3.355443	0.007778
3.774873	0.007840
4.194304	0.007890
4.613734	0.007942
5.033165	0.007996
5.452595	0.008060
5.872025	0.008122
6.291456	0.008190
6.710886	0.008247
7.549747	0.008369
8.388608	0.008502
9.227468	0.008638
10.066330	0.008766
10.905190	0.008897
11.744051	0.009023
12.582912	0.009149
13.421773	0.009283
15.099494	0.009533
16.777216	0.009803
18.454937	0.010089
20.132660	0.010379
21.810381	0.010662
23.488102	0.010937
25.165825	0.011197
26.843546	0.011483
30.198988	0.012077
33.554432	0.012682
36.909874	0.013280
40.265320	0.013898
43.620762	0.014490
46.976204	0.015132
50.331650	0.015798
53.687092	0.016438
60.397976	0.017794
67.108864	0.019168
73.819748	0.020577
80.530640	0.021990
87.241524	0.023414
93.952408	0.024844
100.663300	0.026327
107.374184	0.027842
120.795952	0.030960
134.217728	0.034139
147.639496	0.037425
161.061279	0.038268
174.483047	0.038245
187.904816	0.038064
201.326599	0.037849
214.748367	0.038409
241.591904	0.038446
268.435455	0.038559
295.278992	0.038419
322.122559	0.038241
348.966095	0.038094
375.809631	0.037936
402.653198	0.037746
429.496735	0.039064
483.183807	0.039011
536.870911	0.038071
590.557983	0.037694
644.245117	0.037779
697.932190	0.037931
751.619263	0.039371
805.306396	0.039837

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	144.195557	142.021179
0.052429	145.092010	146.312714
0.104858	157.070160	152.435303
0.157286	147.838593	149.135590
0.209715	155.105591	153.961182
0.262144	154.914856	150.642395
0.314573	152.263641	152.549744
0.367002	155.658722	149.345398
0.419430	155.067444	149.574280
0.471859	151.481628	149.135590
0.524288	149.669647	151.100159
0.576717	158.214569	153.484344
0.629146	160.884857	157.146454
0.681574	159.034729	158.405304
0.734003	150.890350	147.762299
0.786432	149.135590	149.230957
0.838861	158.920288	159.149170
0.891290	147.190094	144.844055
0.943718	151.748657	150.718689
0.996147	145.778656	143.108368
1.048576	154.056549	151.214600
1.101005	157.375336	154.266357
1.153434	155.944824	155.754089
1.205862	155.506134	153.675079
1.258291	149.307251	147.476196
1.310720	149.517059	149.154663
1.363149	144.538879	145.587921
1.415578	156.688690	151.996613
1.468006	150.222778	152.568817
