07/07/22	3:55 PM
Experiment Type:	Generic
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	33.641100
Average Count rate  A (kHz):	169.1
Average Count rate  B (kHz):	165.7
Intercept:	0.9786
Cumulant 1st	22.19
Cumulant 2nd	21.10	8.32
Cumulant 3rd	19.64	11.43

Lag time (s)         g2-1
1.250000E-8	0.979387
2.500000E-8	0.976946
3.750000E-8	0.975991
5.000000E-8	0.977809
6.250000E-8	0.975508
7.500000E-8	0.977324
8.750000E-8	0.982494
1.000000E-7	0.975518
1.125000E-7	0.977136
1.250000E-7	0.976318
1.375000E-7	0.974201
1.500000E-7	0.980110
1.625000E-7	0.976064
1.750000E-7	0.977286
1.875000E-7	0.978952
2.000000E-7	0.979215
2.125000E-7	0.978096
2.375000E-7	0.973882
2.625000E-7	0.974378
2.875000E-7	0.974017
3.125000E-7	0.971895
3.375000E-7	0.977373
3.625000E-7	0.974534
3.875000E-7	0.973913
4.125000E-7	0.974912
4.625000E-7	0.973245
5.125000E-7	0.972879
5.625000E-7	0.970586
6.125000E-7	0.973794
6.625000E-7	0.974764
7.125000E-7	0.971019
7.625000E-7	0.972522
8.125000E-7	0.972787
9.125000E-7	0.969681
1.012500E-6	0.967685
1.112500E-6	0.968311
1.212500E-6	0.967295
1.312500E-6	0.966925
1.412500E-6	0.964158
1.512500E-6	0.964130
1.612500E-6	0.962721
1.812500E-6	0.961873
2.012500E-6	0.959762
2.212500E-6	0.957085
2.412500E-6	0.955056
2.612500E-6	0.952710
2.812500E-6	0.951295
3.012500E-6	0.948447
3.212500E-6	0.947123
3.612500E-6	0.943461
4.012500E-6	0.939569
4.412500E-6	0.935760
4.812500E-6	0.932464
5.212500E-6	0.929091
5.612500E-6	0.925002
6.012500E-6	0.922056
6.412500E-6	0.918308
7.212500E-6	0.910293
8.012500E-6	0.903132
8.812500E-6	0.895675
9.612500E-6	0.888619
1.041250E-5	0.881525
1.121250E-5	0.874177
1.201250E-5	0.867806
1.281250E-5	0.861140
1.441250E-5	0.848071
1.601250E-5	0.834460
1.761250E-5	0.821544
1.921250E-5	0.809148
2.081250E-5	0.796839
2.241250E-5	0.784083
2.401250E-5	0.772506
2.561250E-5	0.760805
2.881250E-5	0.738016
3.201250E-5	0.715994
3.521250E-5	0.694823
3.841250E-5	0.673998
4.161250E-5	0.654380
4.481250E-5	0.635656
4.801250E-5	0.617103
5.121250E-5	0.599211
5.761250E-5	0.565595
6.401250E-5	0.534248
7.041250E-5	0.505065
7.681250E-5	0.477867
8.321250E-5	0.452091
8.961250E-5	0.428267
9.601250E-5	0.405886
0.000102	0.385169
0.000115	0.347124
0.000128	0.313492
0.000141	0.283652
0.000154	0.257353
0.000166	0.233987
0.000179	0.213386
0.000192	0.194864
0.000205	0.178721
0.000230	0.150534
0.000256	0.127690
0.000282	0.109075
0.000307	0.093959
0.000333	0.081589
0.000358	0.071231
0.000384	0.062491
0.000410	0.055383
0.000461	0.043654
0.000512	0.035159
0.000563	0.029065
0.000614	0.024287
0.000666	0.020549
0.000717	0.017525
0.000768	0.015414
0.000819	0.013701
0.000922	0.010977
0.001024	0.009211
0.001126	0.007924
0.001229	0.006963
0.001331	0.006343
0.001434	0.005673
0.001536	0.004876
0.001638	0.004450
0.001843	0.003540
0.002048	0.003312
0.002253	0.003521
0.002458	0.003531
0.002662	0.003266
0.002867	0.002658
0.003072	0.002363
0.003277	0.002560
0.003686	0.002666
0.004096	0.002608
0.004506	0.002859
0.004915	0.002632
0.005325	0.002488
0.005734	0.001807
0.006144	0.002106
0.006554	0.002286
0.007373	0.001791
0.008192	0.002096
0.009011	0.002073
0.009830	0.002298
0.010650	0.002013
0.011469	0.002227
0.012288	0.002255
0.013107	0.002076
0.014746	0.002304
0.016384	0.001654
0.018022	0.002113
0.019661	0.001670
0.021299	0.002038
0.022938	0.002034
0.024576	0.001783
0.026214	0.001715
0.029491	0.001655
0.032768	0.001628
0.036045	0.001657
0.039322	0.001747
0.042598	0.001892
0.045875	0.001492
0.049152	0.001851
0.052429	0.001695
0.058982	0.001646
0.065536	0.001678
0.072090	0.001710
0.078643	0.001458
0.085197	0.001603
0.091750	0.001639
0.098304	0.001309
0.104858	0.001496
0.117965	0.001631
0.131072	0.001413
0.144179	0.001467
0.157286	0.001668
0.170394	0.001416
0.183501	0.001419
0.196608	0.001386
0.209715	0.001448
0.235930	0.001417
0.262144	0.001316
0.288358	0.001454
0.314573	0.001344
0.340787	0.001419
0.367002	0.001427
0.393216	0.001319
0.419430	0.001413
0.471859	0.001336
0.524288	0.001450
0.576717	0.001541
0.629146	0.001336
0.681574	0.001425
0.734003	0.001502
0.786432	0.001453
0.838861	0.001438
0.943718	0.001392
1.048576	0.001378
1.153434	0.001394
1.258291	0.001288
1.363149	0.001326
1.468006	0.001312
1.572864	0.001358
1.677722	0.001316
1.887437	0.001292
2.097152	0.001305
2.306867	0.001274
2.516582	0.001260
2.726298	0.001219
2.936013	0.001247
3.145728	0.001268
3.355443	0.001239
