07/07/22	4:13 PM
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	96.826800
Average Count rate  A (kHz):	201.8
Average Count rate  B (kHz):	197.8
Intercept:	1.0700
Cumulant 1st	57.95
Cumulant 2nd	53.24	34.60
Cumulant 3rd	34.70	31.29

Lag time (s)         g2-1
1.250000E-8	1.066570
2.500000E-8	1.071284
3.750000E-8	1.069429
5.000000E-8	1.073671
6.250000E-8	1.067514
7.500000E-8	1.070075
8.750000E-8	1.068349
1.000000E-7	1.070139
1.125000E-7	1.065207
1.250000E-7	1.069665
1.375000E-7	1.067086
1.500000E-7	1.069006
1.625000E-7	1.067287
1.750000E-7	1.069385
1.875000E-7	1.071792
2.000000E-7	1.069271
2.125000E-7	1.067165
2.375000E-7	1.067782
2.625000E-7	1.064398
2.875000E-7	1.064364
3.125000E-7	1.066134
3.375000E-7	1.063779
3.625000E-7	1.064520
3.875000E-7	1.065623
4.125000E-7	1.065458
4.625000E-7	1.062708
5.125000E-7	1.064314
5.625000E-7	1.061779
6.125000E-7	1.062520
6.625000E-7	1.062945
7.125000E-7	1.061119
7.625000E-7	1.060302
8.125000E-7	1.060624
9.125000E-7	1.059746
1.012500E-6	1.058685
1.112500E-6	1.059001
1.212500E-6	1.057817
1.312500E-6	1.055120
1.412500E-6	1.055061
1.512500E-6	1.054513
1.612500E-6	1.054030
1.812500E-6	1.050830
2.012500E-6	1.049529
2.212500E-6	1.046942
2.412500E-6	1.045159
2.612500E-6	1.042734
2.812500E-6	1.040921
3.012500E-6	1.039150
3.212500E-6	1.037373
3.612500E-6	1.032993
4.012500E-6	1.029414
4.412500E-6	1.025547
4.812500E-6	1.021452
5.212500E-6	1.018206
5.612500E-6	1.014277
6.012500E-6	1.011220
6.412500E-6	1.007575
7.212500E-6	0.999672
8.012500E-6	0.992704
8.812500E-6	0.986351
9.612500E-6	0.979426
1.041250E-5	0.972549
1.121250E-5	0.965636
1.201250E-5	0.959631
1.281250E-5	0.952695
1.441250E-5	0.940083
1.601250E-5	0.927399
1.761250E-5	0.915050
1.921250E-5	0.903422
2.081250E-5	0.892101
2.241250E-5	0.880940
2.401250E-5	0.869627
2.561250E-5	0.858982
2.881250E-5	0.838197
3.201250E-5	0.818667
3.521250E-5	0.799805
3.841250E-5	0.781880
4.161250E-5	0.764935
4.481250E-5	0.748673
4.801250E-5	0.733328
5.121250E-5	0.718309
5.761250E-5	0.690908
6.401250E-5	0.665592
7.041250E-5	0.642390
7.681250E-5	0.621031
8.321250E-5	0.601449
8.961250E-5	0.583512
9.601250E-5	0.567091
0.000102	0.552014
0.000115	0.524600
0.000128	0.501161
0.000141	0.480875
0.000154	0.463312
0.000166	0.447551
0.000179	0.433915
0.000192	0.422031
0.000205	0.411531
0.000230	0.393314
0.000256	0.378490
0.000282	0.366114
0.000307	0.355921
0.000333	0.347005
0.000358	0.339228
0.000384	0.332497
0.000410	0.326641
0.000461	0.316139
0.000512	0.307347
0.000563	0.299605
0.000614	0.292956
0.000666	0.286931
0.000717	0.281531
0.000768	0.276400
0.000819	0.271799
0.000922	0.263167
0.001024	0.255238
0.001126	0.247483
0.001229	0.240680
0.001331	0.234061
0.001434	0.227428
0.001536	0.221654
0.001638	0.216148
0.001843	0.205490
0.002048	0.196173
0.002253	0.187812
0.002458	0.179376
0.002662	0.171408
0.002867	0.164890
0.003072	0.158963
0.003277	0.153263
0.003686	0.142530
0.004096	0.133448
0.004506	0.126145
0.004915	0.120051
0.005325	0.114574
0.005734	0.109809
0.006144	0.105501
0.006554	0.101875
0.007373	0.095129
0.008192	0.090176
0.009011	0.086516
0.009830	0.083069
0.010650	0.080247
0.011469	0.077783
0.012288	0.076103
0.013107	0.073891
0.014746	0.070405
0.016384	0.068103
0.018022	0.065720
0.019661	0.063340
0.021299	0.061674
0.022938	0.060577
0.024576	0.059397
0.026214	0.057894
0.029491	0.055637
0.032768	0.054257
0.036045	0.052638
0.039322	0.049899
0.042598	0.047161
0.045875	0.044984
0.049152	0.043906
0.052429	0.042747
0.058982	0.041184
0.065536	0.040087
0.072090	0.039191
0.078643	0.038052
0.085197	0.035784
0.091750	0.034639
0.098304	0.034086
0.104858	0.033432
0.117965	0.032434
0.131072	0.030539
0.144179	0.029020
0.157286	0.028062
0.170394	0.026267
0.183501	0.025531
0.196608	0.024368
0.209715	0.023533
0.235930	0.022519
0.262144	0.021760
0.288358	0.022046
0.314573	0.020318
0.340787	0.020282
0.367002	0.020318
0.393216	0.020429
0.419430	0.019852
0.471859	0.018145
0.524288	0.017956
0.576717	0.016817
0.629146	0.016296
0.681574	0.015292
0.734003	0.013664
0.786432	0.013972
0.838861	0.014283
0.943718	0.013623
1.048576	0.014235
1.153434	0.015139
1.258291	0.014472
1.363149	0.014175
1.468006	0.013615
1.572864	0.013380
1.677722	0.013781
1.887437	0.014484
2.097152	0.013884
2.306867	0.014178
2.516582	0.016306
2.726298	0.016565
2.936013	0.014908
3.145728	0.014547
3.355443	0.014416
3.774873	0.014250
4.194304	0.014045
4.613734	0.015022
5.033165	0.013751
5.452595	0.013359
5.872025	0.012558
6.291456	0.012424
6.710886	0.012488
7.549747	0.012153
8.388608	0.012350
9.227468	0.011902
10.066330	0.012316
10.905190	0.011845
11.744051	0.012397
12.582912	0.012026
13.421773	0.011812
15.099494	0.011725
16.777216	0.011543
18.454937	0.011339
20.132660	0.010585
21.810381	0.010832
23.488102	0.010677
25.165825	0.009750
26.843546	0.008911
30.198988	0.007120
33.554432	0.005603
36.909874	0.004149
40.265320	0.002457
43.620762	0.002230
46.976204	0.001373
50.331650	-0.000279
53.687092	-0.001971
60.397976	-0.004430
67.108864	-0.004451
73.819748	-0.004461
80.530640	-0.004385
87.241524	-0.005795
93.952408	-0.006492
100.663300	-0.006267
107.374184	-0.005658
120.795952	-0.004355
134.217728	-0.003892
147.639496	-0.003588
161.061279	-0.003730
174.483047	-0.003939
187.904816	-0.003758
201.326599	-0.003326
214.748367	-0.000579
241.591904	-0.001472
268.435455	-0.001914
295.278992	-0.000808
322.122559	0.003131
348.966095	0.007007
375.809631	0.009572
402.653198	0.008936
429.496735	0.007368
483.183807	0.026626
536.870911	0.031997
590.557983	-0.033536
644.245117	-0.080977
697.932190	-0.089490
751.619263	-0.094980
805.306396	-0.123025

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	188.293457	182.247162
0.052429	211.334229	209.102631
0.104858	217.514038	214.767456
0.157286	165.405273	159.568787
0.209715	184.268951	177.459717
0.262144	182.914734	178.871155
0.314573	199.642181	193.614960
0.367002	127.487183	126.743317
0.419430	166.606903	163.002014
0.471859	178.108215	178.394318
0.524288	205.650330	202.713013
0.576717	223.598480	217.628479
0.629146	168.991089	164.585114
0.681574	161.514282	156.898499
0.734003	171.070099	164.375305
0.786432	145.683289	144.481659
0.838861	159.416199	160.388947
0.891290	155.124664	150.871277
0.943718	170.459747	168.952942
0.996147	147.953033	146.865845
1.048576	165.023804	163.116455
1.101005	132.179260	131.759644
1.153434	159.797668	159.320831
1.205862	265.541077	260.009766
1.258291	205.764771	202.255249
1.310720	173.416138	172.920227
1.363149	195.331573	189.990997
