07/07/22	5:25 PM
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.1
Laser intensity (mW):	54.494100
Average Count rate  A (kHz):	156.9
Average Count rate  B (kHz):	153.7
Intercept:	1.0000
Cumulant 1st	151.51
Cumulant 2nd	88.29	73.85
Cumulant 3rd	53.87	56.06

Lag time (s)         g2-1
1.250000E-8	1.215328
2.500000E-8	1.217717
3.750000E-8	1.218756
5.000000E-8	1.214708
6.250000E-8	1.213385
7.500000E-8	1.219018
8.750000E-8	1.214491
1.000000E-7	1.214458
1.125000E-7	1.214458
1.250000E-7	1.217223
1.375000E-7	1.212463
1.500000E-7	1.209864
1.625000E-7	1.213673
1.750000E-7	1.212275
1.875000E-7	1.215324
2.000000E-7	1.206174
2.125000E-7	1.212052
2.375000E-7	1.213700
2.625000E-7	1.210966
2.875000E-7	1.210778
3.125000E-7	1.212343
3.375000E-7	1.211110
3.625000E-7	1.210091
3.875000E-7	1.210496
4.125000E-7	1.210536
4.625000E-7	1.210398
5.125000E-7	1.208489
5.625000E-7	1.210201
6.125000E-7	1.208378
6.625000E-7	1.206686
7.125000E-7	1.211230
7.625000E-7	1.207422
8.125000E-7	1.206924
9.125000E-7	1.206235
1.012500E-6	1.206164
1.112500E-6	1.201873
1.212500E-6	1.203546
1.312500E-6	1.203289
1.412500E-6	1.200698
1.512500E-6	1.200316
1.612500E-6	1.199120
1.812500E-6	1.198214
2.012500E-6	1.194331
2.212500E-6	1.193265
2.412500E-6	1.192190
2.612500E-6	1.190393
2.812500E-6	1.187613
3.012500E-6	1.187660
3.212500E-6	1.184872
3.612500E-6	1.180572
4.012500E-6	1.177488
4.412500E-6	1.173802
4.812500E-6	1.170385
5.212500E-6	1.166872
5.612500E-6	1.163565
6.012500E-6	1.161103
6.412500E-6	1.157201
7.212500E-6	1.149768
8.012500E-6	1.143309
8.812500E-6	1.136541
9.612500E-6	1.130629
1.041250E-5	1.124185
1.121250E-5	1.117917
1.201250E-5	1.110486
1.281250E-5	1.104843
1.441250E-5	1.092319
1.601250E-5	1.080500
1.761250E-5	1.068888
1.921250E-5	1.058269
2.081250E-5	1.047387
2.241250E-5	1.036349
2.401250E-5	1.025945
2.561250E-5	1.015749
2.881250E-5	0.995964
3.201250E-5	0.977271
3.521250E-5	0.959883
3.841250E-5	0.942287
4.161250E-5	0.926358
4.481250E-5	0.910554
4.801250E-5	0.895541
5.121250E-5	0.881829
5.761250E-5	0.855300
6.401250E-5	0.831132
7.041250E-5	0.808811
7.681250E-5	0.788521
8.321250E-5	0.769713
8.961250E-5	0.752670
9.601250E-5	0.736508
0.000102	0.722229
0.000115	0.695920
0.000128	0.673279
0.000141	0.653731
0.000154	0.636711
0.000166	0.621839
0.000179	0.608572
0.000192	0.596875
0.000205	0.586656
0.000230	0.568958
0.000256	0.554650
0.000282	0.542887
0.000307	0.532858
0.000333	0.524193
0.000358	0.516874
0.000384	0.510463
0.000410	0.505093
0.000461	0.495300
0.000512	0.487014
0.000563	0.480341
0.000614	0.474208
0.000666	0.468693
0.000717	0.463745
0.000768	0.459188
0.000819	0.455011
0.000922	0.447211
0.001024	0.439737
0.001126	0.432656
0.001229	0.425817
0.001331	0.419716
0.001434	0.413888
0.001536	0.408409
0.001638	0.403162
0.001843	0.392723
0.002048	0.382626
0.002253	0.373144
0.002458	0.364943
0.002662	0.356739
0.002867	0.348765
0.003072	0.340680
0.003277	0.333715
0.003686	0.320542
0.004096	0.308388
0.004506	0.297256
0.004915	0.287540
0.005325	0.278691
0.005734	0.270252
0.006144	0.262539
0.006554	0.255471
0.007373	0.243161
0.008192	0.232947
0.009011	0.224655
0.009830	0.218057
0.010650	0.212406
0.011469	0.207139
0.012288	0.202085
0.013107	0.197526
0.014746	0.189406
0.016384	0.183492
0.018022	0.178296
0.019661	0.172781
0.021299	0.168431
0.022938	0.165251
0.024576	0.161723
0.026214	0.158789
0.029491	0.154581
0.032768	0.150974
0.036045	0.148346
0.039322	0.146436
0.042598	0.143930
0.045875	0.141065
0.049152	0.139232
0.052429	0.137092
0.058982	0.134327
0.065536	0.132257
0.072090	0.129817
0.078643	0.128561
0.085197	0.126613
0.091750	0.125513
0.098304	0.124405
0.104858	0.122531
0.117965	0.120191
0.131072	0.114826
0.144179	0.109065
0.157286	0.105702
0.170394	0.106819
0.183501	0.106541
0.196608	0.106195
0.209715	0.104197
0.235930	0.101603
0.262144	0.099160
0.288358	0.099191
0.314573	0.098301
0.340787	0.095677
0.367002	0.094184
0.393216	0.093742
0.419430	0.091737
0.471859	0.090214
0.524288	0.089462
0.576717	0.086295
0.629146	0.088033
0.681574	0.085936
0.734003	0.085016
0.786432	0.084174
0.838861	0.083856
0.943718	0.082009
1.048576	0.082600
1.153434	0.081523
1.258291	0.082472
1.363149	0.081268
1.468006	0.079052
1.572864	0.078118
1.677722	0.079323
1.887437	0.078576
2.097152	0.077437
2.306867	0.077812
2.516582	0.076172
2.726298	0.077817
2.936013	0.078556
3.145728	0.078066
3.355443	0.078783
3.774873	0.078751
4.194304	0.080000
4.613734	0.079013
5.033165	0.075599
5.452595	0.075198
5.872025	0.075880
6.291456	0.075918
6.710886	0.075824
7.549747	0.077233
8.388608	0.076005
9.227468	0.076439
10.066330	0.076593
10.905190	0.076937
11.744051	0.078745
12.582912	0.076236
13.421773	0.076475
15.099494	0.076235
16.777216	0.074889
18.454937	0.073667
20.132660	0.073400
21.810381	0.072657
23.488102	0.072381
25.165825	0.072542
26.843546	0.071474
30.198988	0.070335
33.554432	0.069369
36.909874	0.067153
40.265320	0.066242
43.620762	0.062835
46.976204	0.060304
50.331650	0.061267
53.687092	0.059501
60.397976	0.053940
67.108864	0.050006
73.819748	0.044581
80.530640	0.039523
87.241524	0.036073
93.952408	0.031159
100.663300	0.025655
107.374184	0.021776
120.795952	0.011641
134.217728	-0.003786
147.639496	-0.019152
161.061279	-0.038289
174.483047	-0.058544
187.904816	-0.077478
201.326599	-0.091392
214.748367	-0.109277
241.591904	-0.133783
268.435455	-0.152339
295.278992	-0.174832
322.122559	-0.187862
348.966095	-0.205794
375.809631	-0.210851
402.653198	-0.208858
429.496735	-0.207552
483.183807	-0.192891
536.870911	-0.180425
590.557983	-0.174857
644.245117	-0.183016
697.932190	-0.194533
751.619263	-0.197426
805.306396	-0.246875

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	151.538849	148.735046
0.052429	124.645233	121.574402
0.104858	161.075592	159.931183
0.157286	180.530548	176.582336
0.209715	201.568604	197.505951
0.262144	188.808441	186.729431
0.314573	214.862823	213.279724
0.367002	160.331726	157.337189
0.419430	210.151672	203.418732
0.471859	202.064514	199.050903
0.524288	106.639862	107.269287
0.576717	148.334503	146.427155
0.629146	137.424469	135.593414
0.681574	112.495422	111.064911
0.734003	133.094788	131.931305
0.786432	119.552612	118.103027
0.838861	128.421783	129.203796
0.891290	158.596039	156.974792
0.943718	160.446167	153.579712
0.996147	212.268829	205.059052
1.048576	140.571594	136.928558
1.101005	119.323730	117.282867
1.153434	144.767761	138.874054
1.205862	191.669464	191.345215
1.258291	193.367004	190.715790
1.310720	172.367096	168.113708
1.363149	125.522614	126.018524
1.415578	131.320953	130.271912
