07/23/22	7:49 PM
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	97.836043
Average Count rate  A (kHz):	205.8
Average Count rate  B (kHz):	202.3
Intercept:	1.0054
Cumulant 1st	46.57
Cumulant 2nd	46.58	0.00
Cumulant 3rd	195.79	9059.31

Lag time (s)         g2-1
1.250000E-8	1.005219
2.500000E-8	1.004777
3.750000E-8	1.002663
5.000000E-8	1.002679
6.250000E-8	1.003716
7.500000E-8	1.007560
8.750000E-8	1.007083
1.000000E-7	1.004630
1.125000E-7	1.007924
1.250000E-7	1.004029
1.375000E-7	0.999974
1.500000E-7	1.008343
1.625000E-7	1.006296
1.750000E-7	1.003351
1.875000E-7	1.007572
2.000000E-7	1.006527
2.125000E-7	1.007456
2.375000E-7	1.004547
2.625000E-7	1.002729
2.875000E-7	1.003116
3.125000E-7	1.002100
3.375000E-7	1.002163
3.625000E-7	1.002921
3.875000E-7	1.001368
4.125000E-7	1.003942
4.625000E-7	1.003122
5.125000E-7	1.002928
5.625000E-7	1.003301
6.125000E-7	1.000833
6.625000E-7	1.001706
7.125000E-7	1.002556
7.625000E-7	0.998058
8.125000E-7	0.997870
9.125000E-7	0.998187
1.012500E-6	0.995684
1.112500E-6	0.997773
1.212500E-6	0.995494
1.312500E-6	0.994891
1.412500E-6	0.994249
1.512500E-6	0.993672
1.612500E-6	0.992027
1.812500E-6	0.991079
2.012500E-6	0.990997
2.212500E-6	0.988610
2.412500E-6	0.986655
2.612500E-6	0.984729
2.812500E-6	0.984130
3.012500E-6	0.982022
3.212500E-6	0.980644
3.612500E-6	0.977570
4.012500E-6	0.973774
4.412500E-6	0.972208
4.812500E-6	0.968430
5.212500E-6	0.966543
5.612500E-6	0.963056
6.012500E-6	0.960482
6.412500E-6	0.957712
7.212500E-6	0.952816
8.012500E-6	0.947671
8.812500E-6	0.942102
9.612500E-6	0.936658
1.041250E-5	0.932265
1.121250E-5	0.927178
1.201250E-5	0.922016
1.281250E-5	0.917478
1.441250E-5	0.908480
1.601250E-5	0.900108
1.761250E-5	0.890988
1.921250E-5	0.883153
2.081250E-5	0.875240
2.241250E-5	0.867140
2.401250E-5	0.859737
2.561250E-5	0.852872
2.881250E-5	0.839134
3.201250E-5	0.826412
3.521250E-5	0.814617
3.841250E-5	0.803236
4.161250E-5	0.792849
4.481250E-5	0.783084
4.801250E-5	0.773509
5.121250E-5	0.764773
5.761250E-5	0.749003
6.401250E-5	0.734675
7.041250E-5	0.721581
7.681250E-5	0.709909
8.321250E-5	0.699555
8.961250E-5	0.689896
9.601250E-5	0.681052
0.000102	0.673341
0.000115	0.659083
0.000128	0.646860
0.000141	0.636202
0.000154	0.626713
0.000166	0.618275
0.000179	0.610512
0.000192	0.603627
0.000205	0.597139
0.000230	0.585162
0.000256	0.574490
0.000282	0.564709
0.000307	0.555552
0.000333	0.546759
0.000358	0.538299
0.000384	0.530312
0.000410	0.522504
0.000461	0.507716
0.000512	0.493762
0.000563	0.480484
0.000614	0.467665
0.000666	0.455316
0.000717	0.443542
0.000768	0.432183
0.000819	0.421480
0.000922	0.400427
0.001024	0.380908
0.001126	0.362331
0.001229	0.345212
0.001331	0.329214
0.001434	0.314065
0.001536	0.299638
0.001638	0.286339
0.001843	0.261518
0.002048	0.239747
0.002253	0.219678
0.002458	0.201966
0.002662	0.186096
0.002867	0.171961
0.003072	0.159272
0.003277	0.148150
0.003686	0.128347
0.004096	0.112008
0.004506	0.098643
0.004915	0.088086
0.005325	0.078760
0.005734	0.070940
