07/23/22	8:03 PM
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	600
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	300.000000
Average Count rate  A (kHz):	210.7
Average Count rate  B (kHz):	207.2
Intercept:	0.9284
Cumulant 1st	6.28
Cumulant 2nd	2.85	65.72
Cumulant 3rd	4.37	79.99

Lag time (s)         g2-1
1.250000E-8	0.929811
2.500000E-8	0.925622
3.750000E-8	0.927091
5.000000E-8	0.927650
6.250000E-8	0.928019
7.500000E-8	0.925476
8.750000E-8	0.921974
1.000000E-7	0.924371
1.125000E-7	0.919406
1.250000E-7	0.918436
1.375000E-7	0.917010
1.500000E-7	0.917962
1.625000E-7	0.918726
1.750000E-7	0.912302
1.875000E-7	0.919709
2.000000E-7	0.923705
2.125000E-7	0.920045
2.375000E-7	0.914630
2.625000E-7	0.910296
2.875000E-7	0.913740
3.125000E-7	0.910708
3.375000E-7	0.907903
3.625000E-7	0.904875
3.875000E-7	0.904549
4.125000E-7	0.902709
4.625000E-7	0.902111
5.125000E-7	0.897805
5.625000E-7	0.894570
6.125000E-7	0.893487
6.625000E-7	0.889672
7.125000E-7	0.886145
7.625000E-7	0.882613
8.125000E-7	0.881500
9.125000E-7	0.874140
1.012500E-6	0.869105
1.112500E-6	0.866316
1.212500E-6	0.860420
1.312500E-6	0.854655
1.412500E-6	0.850717
1.512500E-6	0.846408
1.612500E-6	0.842635
1.812500E-6	0.831585
2.012500E-6	0.822628
2.212500E-6	0.814439
2.412500E-6	0.805775
2.612500E-6	0.797842
2.812500E-6	0.791515
3.012500E-6	0.782439
3.212500E-6	0.774902
3.612500E-6	0.761589
4.012500E-6	0.747122
4.412500E-6	0.734497
4.812500E-6	0.721948
5.212500E-6	0.710777
5.612500E-6	0.699250
6.012500E-6	0.688087
6.412500E-6	0.677517
7.212500E-6	0.657577
8.012500E-6	0.638995
8.812500E-6	0.621266
9.612500E-6	0.604624
1.041250E-5	0.588503
1.121250E-5	0.573605
1.201250E-5	0.558841
1.281250E-5	0.544594
1.441250E-5	0.518501
1.601250E-5	0.493477
1.761250E-5	0.470141
1.921250E-5	0.447526
2.081250E-5	0.427078
2.241250E-5	0.407292
2.401250E-5	0.388572
2.561250E-5	0.371252
2.881250E-5	0.338327
3.201250E-5	0.308648
3.521250E-5	0.282093
3.841250E-5	0.257286
4.161250E-5	0.235422
4.481250E-5	0.215379
4.801250E-5	0.197726
5.121250E-5	0.181494
5.761250E-5	0.153061
6.401250E-5	0.129508
7.041250E-5	0.110355
7.681250E-5	0.094206
8.321250E-5	0.080584
8.961250E-5	0.069405
9.601250E-5	0.060137
0.000102	0.052507
0.000115	0.040428
0.000128	0.032067
0.000141	0.026045
0.000154	0.021854
0.000166	0.018527
0.000179	0.016191
0.000192	0.014489
0.000205	0.013201
0.000230	0.011388
0.000256	0.010352
0.000282	0.009668
0.000307	0.009045
0.000333	0.008569
0.000358	0.008159
0.000384	0.007871
0.000410	0.007524
0.000461	0.007192
0.000512	0.006880
0.000563	0.006838
0.000614	0.006520
0.000666	0.006836
0.000717	0.006827
0.000768	0.006643
0.000819	0.006341
0.000922	0.006084
0.001024	0.006076
0.001126	0.005597
0.001229	0.005380
0.001331	0.005282
0.001434	0.004983
0.001536	0.005101
0.001638	0.005261
0.001843	0.004874
0.002048	0.004584
0.002253	0.004413
0.002458	0.004258
0.002662	0.004164
0.002867	0.004132
0.003072	0.004164
0.003277	0.003900
0.003686	0.003916
0.004096	0.003776
0.004506	0.003557
0.004915	0.003603
0.005325	0.003503
0.005734	0.003459
