07/23/22	9:10 PM
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	1200
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.890
Temperature (K):	298.2
Laser intensity (mW):	97.836043
Average Count rate  A (kHz):	197.2
Average Count rate  B (kHz):	193.8
Intercept:	1.0582
Cumulant 1st	179.65
Cumulant 2nd	157.64	42.92
Cumulant 3rd	148.99	85.30

Lag time (s)         g2-1
1.250000E-8	1.059060
2.500000E-8	1.058200
3.750000E-8	1.062093
5.000000E-8	1.058094
6.250000E-8	1.059323
7.500000E-8	1.059510
8.750000E-8	1.062114
1.000000E-7	1.058149
1.125000E-7	1.057930
1.250000E-7	1.059365
1.375000E-7	1.058038
1.500000E-7	1.057778
1.625000E-7	1.059039
1.750000E-7	1.061479
1.875000E-7	1.058270
2.000000E-7	1.057801
2.125000E-7	1.059177
2.375000E-7	1.060072
2.625000E-7	1.058977
2.875000E-7	1.057849
3.125000E-7	1.056386
3.375000E-7	1.056898
3.625000E-7	1.059967
3.875000E-7	1.056383
4.125000E-7	1.058390
4.625000E-7	1.057431
5.125000E-7	1.058047
5.625000E-7	1.059022
6.125000E-7	1.057173
6.625000E-7	1.056480
7.125000E-7	1.057408
7.625000E-7	1.058021
8.125000E-7	1.057543
9.125000E-7	1.057899
1.012500E-6	1.057585
1.112500E-6	1.057036
1.212500E-6	1.055856
1.312500E-6	1.055641
1.412500E-6	1.056398
1.512500E-6	1.055917
1.612500E-6	1.054542
1.812500E-6	1.054406
2.012500E-6	1.054213
2.212500E-6	1.053616
2.412500E-6	1.053685
2.612500E-6	1.052528
2.812500E-6	1.052441
3.012500E-6	1.052459
3.212500E-6	1.051935
3.612500E-6	1.050948
4.012500E-6	1.049654
4.412500E-6	1.048996
4.812500E-6	1.048634
5.212500E-6	1.047980
5.612500E-6	1.046462
6.012500E-6	1.046268
6.412500E-6	1.045171
7.212500E-6	1.043844
8.012500E-6	1.042278
8.812500E-6	1.040650
9.612500E-6	1.038839
1.041250E-5	1.037514
1.121250E-5	1.036079
1.201250E-5	1.034322
1.281250E-5	1.032995
1.441250E-5	1.030287
1.601250E-5	1.026870
1.761250E-5	1.024247
1.921250E-5	1.021606
2.081250E-5	1.018927
2.241250E-5	1.016240
2.401250E-5	1.013581
2.561250E-5	1.010815
2.881250E-5	1.005652
3.201250E-5	1.000752
3.521250E-5	0.995996
3.841250E-5	0.991491
4.161250E-5	0.986834
4.481250E-5	0.982562
4.801250E-5	0.978201
5.121250E-5	0.974179
5.761250E-5	0.965982
6.401250E-5	0.958441
7.041250E-5	0.951393
7.681250E-5	0.944740
8.321250E-5	0.938034
8.961250E-5	0.932059
9.601250E-5	0.926205
0.000102	0.920490
0.000115	0.910106
0.000128	0.900487
0.000141	0.891230
0.000154	0.882833
0.000166	0.874960
0.000179	0.867408
0.000192	0.860181
0.000205	0.853689
0.000230	0.840956
0.000256	0.829154
0.000282	0.817973
0.000307	0.807465
0.000333	0.797356
0.000358	0.787500
0.000384	0.778187
0.000410	0.769074
0.000461	0.751611
0.000512	0.734903
0.000563	0.718740
0.000614	0.703236
0.000666	0.688104
0.000717	0.673459
0.000768	0.659335
0.000819	0.645650
0.000922	0.619345
0.001024	0.594438
0.001126	0.570912
0.001229	0.548568
0.001331	0.527327
0.001434	0.507154
0.001536	0.487979
0.001638	0.469983
0.001843	0.436039
0.002048	0.405299
0.002253	0.377009
0.002458	0.351396
0.002662	0.328146
0.002867	0.307060
0.003072	0.287902
0.003277	0.270907
0.003686	0.240432
0.004096	0.214647
0.004506	0.192963
0.004915	0.174575
0.005325	0.159190
0.005734	0.146275
