07/23/22	7:07 PM
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	97.836043
Average Count rate  A (kHz):	223.0
Average Count rate  B (kHz):	219.2
Intercept:	1.0775
Cumulant 1st	119.77
Cumulant 2nd	114.35	14.78
Cumulant 3rd	110.53	40.25

Lag time (s)         g2-1
1.250000E-8	1.078070
2.500000E-8	1.078452
3.750000E-8	1.078626
5.000000E-8	1.079602
6.250000E-8	1.080920
7.500000E-8	1.076576
8.750000E-8	1.078139
1.000000E-7	1.079221
1.125000E-7	1.073385
1.250000E-7	1.076341
1.375000E-7	1.077752
1.500000E-7	1.078943
1.625000E-7	1.078552
1.750000E-7	1.076610
1.875000E-7	1.078877
2.000000E-7	1.076190
2.125000E-7	1.076807
2.375000E-7	1.078525
2.625000E-7	1.076199
2.875000E-7	1.075768
3.125000E-7	1.076716
3.375000E-7	1.078010
3.625000E-7	1.077537
3.875000E-7	1.079521
4.125000E-7	1.077355
4.625000E-7	1.075901
5.125000E-7	1.077847
5.625000E-7	1.075641
6.125000E-7	1.075583
6.625000E-7	1.074649
7.125000E-7	1.076210
7.625000E-7	1.076758
8.125000E-7	1.075358
9.125000E-7	1.075444
1.012500E-6	1.072836
1.112500E-6	1.073996
1.212500E-6	1.074537
1.312500E-6	1.073550
1.412500E-6	1.073161
1.512500E-6	1.072469
1.612500E-6	1.072574
1.812500E-6	1.071868
2.012500E-6	1.071115
2.212500E-6	1.071265
2.412500E-6	1.069396
2.612500E-6	1.069256
2.812500E-6	1.068562
3.012500E-6	1.067529
3.212500E-6	1.066928
3.612500E-6	1.065769
4.012500E-6	1.064331
4.412500E-6	1.063079
4.812500E-6	1.061346
5.212500E-6	1.060505
5.612500E-6	1.059030
6.012500E-6	1.057488
6.412500E-6	1.056421
7.212500E-6	1.054037
8.012500E-6	1.051788
8.812500E-6	1.049402
9.612500E-6	1.046507
1.041250E-5	1.044222
1.121250E-5	1.042109
1.201250E-5	1.039585
1.281250E-5	1.037210
1.441250E-5	1.032588
1.601250E-5	1.028392
1.761250E-5	1.023736
1.921250E-5	1.019380
2.081250E-5	1.015350
2.241250E-5	1.011165
2.401250E-5	1.007020
2.561250E-5	1.003104
2.881250E-5	0.995571
3.201250E-5	0.987843
3.521250E-5	0.980305
3.841250E-5	0.973526
4.161250E-5	0.966578
4.481250E-5	0.959989
4.801250E-5	0.953706
5.121250E-5	0.947656
5.761250E-5	0.936101
6.401250E-5	0.925039
7.041250E-5	0.914913
7.681250E-5	0.905293
8.321250E-5	0.896220
8.961250E-5	0.887603
9.601250E-5	0.879558
0.000102	0.872089
0.000115	0.857889
0.000128	0.845193
0.000141	0.833589
0.000154	0.822890
0.000166	0.812972
0.000179	0.804015
0.000192	0.795461
0.000205	0.787752
0.000230	0.773217
0.000256	0.760188
0.000282	0.748422
0.000307	0.737523
0.000333	0.727254
0.000358	0.717615
0.000384	0.708547
0.000410	0.699969
0.000461	0.683393
0.000512	0.667808
0.000563	0.653114
0.000614	0.639152
0.000666	0.625556
0.000717	0.612470
0.000768	0.599682
0.000819	0.587553
0.000922	0.563989
0.001024	0.541709
0.001126	0.520490
0.001229	0.500303
0.001331	0.481162
0.001434	0.462837
0.001536	0.445628
0.001638	0.429297
0.001843	0.398529
0.002048	0.370691
0.002253	0.345375
0.002458	0.322406
0.002662	0.301604
0.002867	0.282703
0.003072	0.265199
0.003277	0.249414
0.003686	0.220969
0.004096	0.197309
0.004506	0.177842
0.004915	0.161733
0.005325	0.148289
0.005734	0.136976
