------------------------------------------------------------------------
General information
------------------------------------------------------------------------
Input file: 2M_40mis_28d_cpmg.int
Output file: 2M_40mis_28d_cpmg.out
Selected analyzing methods: ['brd', 'contin', 'nnls', 'discrete']
Exp. x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Exp.  points: 2048
Fitting x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Fitting  points: 2048
Grid points: 400
Grid spaces: log

# Decay data (EXPERIMENTAL)
           time      intensity
   1.001600e-04   5.671664e+01
   1.888000e-04   5.073490e+01
   2.774400e-04   4.778554e+01
   3.660800e-04   4.396699e+01
   4.547200e-04   4.159383e+01
   5.433600e-04   3.902046e+01
   6.320000e-04   3.716490e+01
   7.206400e-04   3.505054e+01
   8.092800e-04   3.361981e+01
   8.979200e-04   3.195469e+01
   9.865600e-04   3.077299e+01
   1.075200e-03   2.921041e+01
   1.163840e-03   2.829728e+01
   1.252480e-03   2.724254e+01
   1.341120e-03   2.624152e+01
   1.429760e-03   2.511353e+01
   1.518400e-03   2.453245e+01
   1.607040e-03   2.356072e+01
   1.695680e-03   2.284291e+01
   1.784320e-03   2.211045e+01
   1.872960e-03   2.153425e+01
   1.961600e-03   2.078715e+01
   2.050240e-03   2.015723e+01
   2.138880e-03   1.953709e+01
   2.227520e-03   1.899507e+01
   2.316160e-03   1.845305e+01
   2.404800e-03   1.803311e+01
   2.493440e-03   1.754480e+01
   2.582080e-03   1.709068e+01
   2.670720e-03   1.664144e+01
   2.759360e-03   1.628986e+01
   2.848000e-03   1.591875e+01
   2.936640e-03   1.547927e+01
   3.025280e-03   1.519117e+01
   3.113920e-03   1.484936e+01
   3.202560e-03   1.431222e+01
   3.291200e-03   1.412178e+01
   3.379840e-03   1.377509e+01
   3.468480e-03   1.348210e+01
   3.557120e-03   1.319889e+01
   3.645760e-03   1.296938e+01
   3.734400e-03   1.265198e+01
   3.823040e-03   1.236877e+01
   3.911680e-03   1.212950e+01
   4.000320e-03   1.204160e+01
   4.088960e-03   1.173885e+01
   4.177600e-03   1.143122e+01
   4.266240e-03   1.125543e+01
   4.354880e-03   1.105034e+01
