accession_0,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,accession_1,accession_2,desc_lower,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS
XP_027264119.1,neuroblast differentiation-associated protein AHNAK isoform X23 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,6.282506384509014,543289.5912000091,0.2354326074161271,12.0,-37.15856578696125,-809.6263320444662,772.4677662575048,-0.0162636569949778,-0.3543593429834063,0.3380956859884284,,,neuroblast differentiation-associated protein ahnak isoform x23,neuroblast differentiation associated protein ahnak isoform x23,,,,,,,neuroblast differentiation associated protein ahnak isoform x2,
XP_027259953.1,plectin isoform X6 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,5.210489361498338,517321.4860000004,0.7042253521126761,32.0,-84.39414835610567,-780.52384905389,696.1297006977843,-0.038163849708929,-0.3529604297188509,0.3147965800099217,,,plectin isoform x6,plectin isoform x6,,,,,,,plectin,
NP_001233668.1,endoplasmic reticulum chaperone BiP precursor [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,4.531528394036766,72378.15180000033,0.4587155963302752,3.0,-20.56805480031542,-111.94394043007878,91.37588562976336,-0.0345118638340343,-0.1878346818245974,0.153322817990563,,,endoplasmic reticulum chaperone bip precursor,endoplasmic reticulum chaperone bip precursor,,,,,,endoplasmic reticulum chaperone bip,,
XP_027260936.1,inter-alpha-trypsin inhibitor heavy chain H5 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,9.04657592053136,106537.64240000056,0.8403361344537815,8.0,10.08189485269215,-111.9592064297017,122.04110128239384,0.0130733522191074,-0.1451792704856866,0.1582526227047939,,,inter-alpha-trypsin inhibitor heavy chain h5 isoform x2,inter alpha trypsin inhibitor heavy chain h5 isoform x2,inter alpha trypsin inhibitor heavy chain h5 isoform x2,,,,inter alpha trypsin inhibitor heavy chain h5,inter alpha trypsin inhibitor heavy chain h5,,
XP_027246103.1,clusterin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,5.361981317545045,51757.18660000009,2.460850111856823,11.0,-10.01241178961575,-66.96790637656574,56.955494586949975,-0.0210089871342014,-0.1405183798901335,0.119509392755932,,,clusterin,clusterin,clusterin,clusterin,clusterin,clusterin,clusterin,clusterin,,clusterin
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,7.42707565731219,57893.154600000096,1.8832391713747645,10.0,1.9838589761961585,-67.97002377029835,69.95388274649451,0.0038631316313287,-0.1323567612213396,0.1362198928526684,,,pyruvate kinase pkm isoform x2,pyruvate kinase pkm isoform x2,pyruvate kinase,pyruvate kinase,,pyruvate kinase,,,,
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.7115209221398295,70804.06140000028,0.6191950464396285,4.0,-13.58225751602908,-96.96019893399972,83.37794141797065,-0.0231266840127156,-0.1650953738662612,0.1419686898535456,,,heat shock cognate 71 kda protein,heat shock cognate 71 kda protein,heat shock cognate 71 kda protein,,,heat shock cognate 71 kda protein,,,,
NP_001230968.1,elongation factor 2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.881923807024108,95323.01470000052,1.981351981351981,17.0,-0.9591867013474684,-114.9530410868289,113.99385438548144,-0.001339527053279,-0.1605346573051817,0.1591951302519026,,,elongation factor 2,elongation factor 2,elongation factor 2,,,elongation factor 2,,,,
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,6.2892524773508205,47152.30890000006,1.3824884792626728,6.0,-2.594502894470937,-57.97692286128206,55.38241996681112,-0.0057929400844382,-0.1294493990086649,0.1236564589242267,,,alpha-enolase isoform x2,alpha enolase isoform x2,alpha enolase,alpha enolase,alpha enolase,,,,,
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,6.288335865063492,56795.732700000015,1.5841584158415842,8.0,-3.807902009363655,-77.9726042232167,74.16470221385305,-0.0075102687652952,-0.1537842130932912,0.1462739443279959,,,protein disulfide-isomerase a3 precursor,protein disulfide isomerase a3 precursor,protein disulfide isomerase,protein disulfide isomerase,,,,,,protein disulfide isomeras
XP_027265953.1,nucleobindin-2 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,4.570421002519581,50287.854400000106,0.4761904761904762,2.0,-28.158762655394558,-97.9449142794025,69.78615162400794,-0.0602307608466483,-0.2095012760433917,0.1492705151967434,,,nucleobindin-2 isoform x2,nucleobindin 2 isoform x2,nucleobindin 2,,,,nucleobindin 2,,,
XP_027261047.1,vimentin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,4.53597431334015,53742.13140000012,0.2145922746781116,1.0,-17.57082553612538,-84.95658313489923,67.38575759877385,-0.0359552595799922,-0.1738470394213525,0.1378917798413602,,,vimentin,vimentin,vimentin,,vimentin,,,,,
NP_001231504.1,"actin, cytoplasmic 1 [Cricetulus griseus]",True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,4.793452089110311,41737.27270000006,1.6,6.0,-10.812365883659607,-50.98481730288996,40.17245141923035,-0.026186947355771,-0.1234823849858923,0.0972954376301212,,,"actin, cytoplasmic 1",actin cytoplasmic 1,actin cytoplasmic 1,,actin,actin cytoplasmic 1,actin,,,
XP_027248343.1,endoplasmin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,4.206890541875872,92492.67600000052,0.6234413965087282,5.0,-53.49204688336743,-171.91153178118046,118.41948489781304,-0.0762192211093426,-0.2449516108561877,0.1687323897468451,,,endoplasmin,endoplasmin,endoplasmin,,,,,,endoplasmin,
