accession,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,desc_lower,desc_lower_2,high_risk_name,impact,impact_type,function
XP_027246103.1,clusterin [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5.36198131754504,51757.1866000001,2.46085011185682,11,-10.0124117896158,-66.9679063765657,56.95549458695,-0.0210089871342014,-0.140518379890133,0.119509392755932,clusterin,clusterin,clusterin,Immunogenicity,Immunogenic response,Multifunctional disulfide-linked heterodimeric glycoprotein associated with clearance of cellular debris and apoptosis
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,7.42707565731219,57893.1546000001,1.88323917137476,10,1.98385897619616,-67.9700237702984,69.9538827464945,0.0038631316313287,-0.13235676122134,0.136219892852668,pyruvate kinase pkm isoform x2,pyruvate kinase pkm isoform x2,pyruvate kinase,Immunogenicity,Immunogenic response,Catalyzes the conversion of phosphoenolpyruvate to pyruvate and plays a role in regulating cell metabolism
XP_027254100.1,alpha-enolase isoform X2 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,6.28925247735082,47152.3089000001,1.38248847926267,6,-2.59450289447094,-57.9769228612821,55.3824199668111,-0.0057929400844382,-0.129449399008665,0.123656458924227,alpha-enolase isoform x2,alpha enolase isoform x2,alpha enolase,Drug quality,Modification of drug,Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruvate
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6.28833586506349,56795.7327,1.58415841584158,8,-3.80790200936366,-77.9726042232167,74.1647022138531,-0.0075102687652952,-0.153784213093291,0.146273944327996,protein disulfide-isomerase a3 precursor,protein disulfide isomerase a3 precursor,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
XP_027260201.1,serine protease HTRA1 isoform X3 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,9.18424717302568,50200.211,3.41151385927505,16,4.40882354426105,-55.9750282648055,60.3838518090666,0.0094413161763008,-0.119868244786827,0.129309560963128,serine protease htra1 isoform x3,serine protease htra1 isoform x3,serine protease,Drug quality,Modification of drug,Degrades proteoglycans and potentially clip N-terminus
XP_027251267.1,glutathione S-transferase Mu 7 isoform X1 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.78861281960502,25824.4739,1.37614678899083,3,-0.39074506390645,-32.992651598657,32.6019065347506,-0.0013033249170345,-0.110046546660571,0.108743221743537,glutathione s-transferase mu 7 isoform x1,glutathione s transferase mu 7 isoform x1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8.67637998866931,52944.5067,2.10970464135021,10,5.75402296027107,-54.9853857139763,60.7394086742474,0.0118924455758536,-0.113644090679815,0.125536536255669,lipoprotein lipase isoform x2,lipoprotein lipase isoform x2,lipoprotein lipase,Formulation,Degradation of polysorbates,Catalyzes the hydrolysis of triacylglycerol of LDL and regulates the plasma concentrations of triglycerides and HDL
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,9.04978950359816,22262.3456,2.51256281407035,5,2.60651438146842,-23.9952051790563,26.6017195605247,0.0095982715231779,-0.0883603390798092,0.0979586106029872,peroxiredoxin-1,peroxiredoxin 1,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027269956.1,putative phospholipase B-like 2 [Cricetulus griseus],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6.19439249463623,65540.1006000002,1.1965811965812,7,-3.3472050183195,-53.9957645037307,50.6485594854112,-0.0060005505369917,-0.0967984667550518,0.09079791621806,putative phospholipase b-like 2,putative phospholipase b like 2,phospholipase b like 2,Immunogenicity,Immunogenic response,Potentially catalyzes the hydrolysis of phospholipids into fatty acids
XP_027247784.1,annexin A5 [Cricetulus griseus],TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.37294457819883,36064.4781,0.311526479750779,1,-12.3804446597547,-54.9807693537498,42.6003246939951,-0.0330519176171594,-0.146781469418094,0.113729551800934,annexin a5,annexin a5,annexin a5,Immunogenicity,Immunogenic response,Binds with high affinity to phospholipids and serves as a marker for apoptosis
