accession,name,std_hccf_feed,std_hccf_large,std_hccf_small,std_hccf_mab,std_hccf_lmw1,std_hccf_lmw2,native_hccf_feed,native_hccf_large,native_hccf_small,native_hccf_mab,native_hccf_lmw1,std_pafvin_feed,std_pafvin_large,std_pafvin_small,std_pafvin_mab,native_pafvin_feed,native_pafvin_large,native_pafvin_small,native_pafvin_mab,pI_mean,mass_mean,cysteine_cont_percent_mean,cysteine_num_mean,net_charge_mean,net_charge_neg_mean,net_charge_pos_mean,charge_dens_C_m2_mean,charge_dens_neg_C_m2_mean,charge_dens_pos_C_m2_mean,desc_lower,desc_lower_2
XP_027264119.1,neuroblast differentiation-associated protein AHNAK isoform X23 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,6.282506384509014,543289.5912000091,0.23543260741612712,12.0,-37.15856578696125,-809.6263320444662,772.4677662575048,-0.016263656994977886,-0.3543593429834063,0.3380956859884284,neuroblast differentiation-associated protein ahnak isoform x23,neuroblast differentiation associated protein ahnak isoform x23
XP_027259953.1,plectin isoform X6 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,5.210489361498338,517321.4860000004,0.7042253521126761,32.0,-84.39414835610567,-780.52384905389,696.1297006977843,-0.03816384970892908,-0.3529604297188509,0.3147965800099217,plectin isoform x6,plectin isoform x6
NP_001233668.1,endoplasmic reticulum chaperone BiP precursor [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,4.531528394036766,72378.15180000033,0.45871559633027525,3.0,-20.56805480031542,-111.94394043007878,91.37588562976336,-0.03451186383403434,-0.1878346818245974,0.15332281799056305,endoplasmic reticulum chaperone bip precursor,endoplasmic reticulum chaperone bip precursor
XP_027260936.1,inter-alpha-trypsin inhibitor heavy chain H5 isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,9.046575920531359,106537.64240000056,0.8403361344537815,8.0,10.08189485269215,-111.9592064297017,122.04110128239384,0.01307335221910741,-0.1451792704856866,0.15825262270479398,inter-alpha-trypsin inhibitor heavy chain h5 isoform x2,inter alpha trypsin inhibitor heavy chain h5 isoform x2
XP_027243489.1,filamin-B isoform X3 [Cricetulus griseus],True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,5.339134483801959,275315.4765000004,1.474010861132661,38.0,-52.106990265257444,-317.9046979976823,265.79770773242484,-0.03588027459295569,-0.21890552113029701,0.18302524653734126,filamin-b isoform x3,filamin b isoform x3
XP_027280523.1,peroxidasin homolog isoform X1 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,7.171541278150619,165363.0169,3.1186440677966103,46.0,3.431085775171823,-159.94731509838252,163.37840087355434,0.003318838887696132,-0.15471468920199616,0.1580335280896923,peroxidasin homolog isoform x1,peroxidasin homolog isoform x1
XP_027246103.1,clusterin [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,5.361981317545045,51757.18660000009,2.460850111856823,11.0,-10.01241178961575,-66.96790637656574,56.955494586949975,-0.02100898713420147,-0.14051837989013355,0.11950939275593205,clusterin,clusterin
XP_027288239.1,filamin-A isoform X4 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,5.859847523357166,280461.2945000005,1.8188707843880259,48.0,-37.15177534192093,-307.90556380949613,270.75378846757513,-0.025268403418650536,-0.20941884821332774,0.18415044479467718,filamin-a isoform x4,filamin a isoform x4
XP_027270674.1,pyruvate kinase PKM isoform X2 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,7.42707565731219,57893.154600000096,1.8832391713747645,10.0,1.9838589761961583,-67.97002377029835,69.95388274649451,0.003863131631328746,-0.13235676122133966,0.13621989285266844,pyruvate kinase pkm isoform x2,pyruvate kinase pkm isoform x2
XP_027276427.1,nucleobindin-1 isoform X3 [Cricetulus griseus],True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,4.67323299122541,53310.06370000013,0.0,0.0,-22.205603352076423,-92.94639386907923,70.74079051700281,-0.04568461435730238,-0.19122291308575318,0.14553829872845078,nucleobindin-1 isoform x3,nucleobindin 1 isoform x3
