accn,name,hccf_feed,hccf_large,hccf_small,hccf_mab,hccf_spf1,hccf_spf2,pavin_feed,pavin_large,pavin_small,desc_lower_2,high_risk_name,impact,impact_type,function
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],21.7645124334712,50.5020149834962,30.8075789524359,24.4122302164222,34.8717002617257,2.32222705053229,1.38987114447504,82.276199004721,21.6936663079336,protein disulfide isomerase precursor,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
NP_001233673.1,glutathione S-transferase P 1 [Cricetulus griseus],87.3349306790035,50.5694307384799,14.0879902222601,9.28778158406177,353.893172525221,9.53474271957657,0.638309207945196,41.2965756057576,9.2350826035214,glutathione s transferase p 1,glutathione s transferase,Immunogenicity,Immunogenic response,Conjugates reduced glutathione to exogenous and endogenous hydrophobic electrophiles
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],514.355425716794,1301.68002711399,778.591794188284,282.541530568901,392.816541066346,52.1046994454988,30.1563623676912,1101.43770751219,537.200957585511,peroxiredoxin 1,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],298.98527736299,57.4058795983194,26.8879484398837,330.00741635425,375.544773104964,21.1512741750951,0.0907041920242812,35.8592039864992,7.96989546593579,protein disulfide isomerase a3 precursor,protein disulfide isomerase,Drug quality,Aggregation of drugs,Catalyzes the formation and breakage of disulfide bonds
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],25.0144749068861,173.314236690779,42.8759449131612,7.95145716829704,57.126478777159,3.14468591745216,1.46371930972146,98.5852171099858,20.7512311809733,peroxiredoxin 2,peroxiredoxin,Immunogenicity,Immunogenic response,Regulates the intracellular concentration of hydrogen peroxide
XP_027243958.1,peptidyl-prolyl cis-trans isomerase A isoform X2 [Cricetulus griseus],297.06135740735,42.5655824585944,20.0330904314214,0.169211972376345,182.149374851795,291.830056769795,0.463677729979276,41.9397923587214,12.794736684301,peptidyl prolyl cis trans isomerase a isoform x2,peptidyl prolyl cis trans isomerase a,Drug quality,Aggregation of drugs,Catalyzes the cis–trans isomerization of peptide bonds N-terminal to proline residues
XP_027244682.1,lipoprotein lipase isoform X2 [Cricetulus griseus],584.750457933639,3337.25372612201,1163.72386383194,7.85817177254729,25.594793498583,19.7033018507932,62.5655731567438,3127.93600928842,627.962178277226,lipoprotein lipase isoform x2,lipoprotein lipase,Formulation,Degradation of polysorbates,Catalyzes the hydrolysis of triacylglycerol of LDL and regulates the plasma concentrations of triglycerides and HDL
XP_027246103.1,clusterin [Cricetulus griseus],1014.86774686756,17362.664345633,11089.2653677748,304.940078430094,226.71701677175,30.1486526664682,453.603908701118,14887.026551538,5424.58827721481,clusterin,clusterin,Immunogenicity,Immunogenic response,Multifunctional disulfide-linked heterodimeric glycoprotein associated with clearance of cellular debris and apoptosis
XP_027246161.1,cathepsin B [Cricetulus griseus],8.49137076498205,59.2251458115253,51.3444121362148,4.86822060037,0.835828153298438,9.85703642041957,0,44.921550700686,13.5128202335907,cathepsin b,cathepsin b,Drug quality,Fragmentation of drug,Cysteine Protease responsible for intracellular proteolysis
XP_027247784.1,annexin A5 [Cricetulus griseus],85.7526856475805,0.627666905071036,0,27.3231582837994,31.537054411977,9.36695358352693,0,0,6.80276316855522,annexin a5,annexin a5,Immunogenicity,Immunogenic response,Binds with high affinity to phospholipids and serves as a marker for apoptosis
